country,year,tiv
Hezbollah (Lebanon)*,1950,
Hezbollah (Lebanon)*,1951,
Hezbollah (Lebanon)*,1952,
Hezbollah (Lebanon)*,1953,
Hezbollah (Lebanon)*,1954,
Hezbollah (Lebanon)*,1955,
Hezbollah (Lebanon)*,1956,
Hezbollah (Lebanon)*,1957,
Hezbollah (Lebanon)*,1958,
Hezbollah (Lebanon)*,1959,
Hezbollah (Lebanon)*,1960,
Hezbollah (Lebanon)*,1961,
Hezbollah (Lebanon)*,1962,
Hezbollah (Lebanon)*,1963,
Hezbollah (Lebanon)*,1964,
Hezbollah (Lebanon)*,1965,
Hezbollah (Lebanon)*,1966,
Hezbollah (Lebanon)*,1967,
Hezbollah (Lebanon)*,1968,
Hezbollah (Lebanon)*,1969,
Hezbollah (Lebanon)*,1970,
Hezbollah (Lebanon)*,1971,
Hezbollah (Lebanon)*,1972,
Hezbollah (Lebanon)*,1973,
Hezbollah (Lebanon)*,1974,
Hezbollah (Lebanon)*,1975,
Hezbollah (Lebanon)*,1976,
Hezbollah (Lebanon)*,1977,
Hezbollah (Lebanon)*,1978,
Hezbollah (Lebanon)*,1979,
Hezbollah (Lebanon)*,1980,1
Hezbollah (Lebanon)*,1981,1
Hezbollah (Lebanon)*,1982,1
Hezbollah (Lebanon)*,1983,1
Hezbollah (Lebanon)*,1984,1
Hezbollah (Lebanon)*,1985,1
Hezbollah (Lebanon)*,1986,1
Hezbollah (Lebanon)*,1987,1
Hezbollah (Lebanon)*,1988,1
Hezbollah (Lebanon)*,1989,1
Hezbollah (Lebanon)*,1990,0
Hezbollah (Lebanon)*,1991,1
Hezbollah (Lebanon)*,1992,1
Hezbollah (Lebanon)*,1993,1
Hezbollah (Lebanon)*,1994,0
Hezbollah (Lebanon)*,1995,1
Hezbollah (Lebanon)*,1996,2
Hezbollah (Lebanon)*,1997,0
Hezbollah (Lebanon)*,1998,0
Hezbollah (Lebanon)*,1999,0
Hezbollah (Lebanon)*,2000,0
Hezbollah (Lebanon)*,2001,0
Hezbollah (Lebanon)*,2002,9
Hezbollah (Lebanon)*,2003,3
Hezbollah (Lebanon)*,2004,3
Hezbollah (Lebanon)*,2005,3
Hezbollah (Lebanon)*,2006,11
Hezbollah (Lebanon)*,2007,
Hezbollah (Lebanon)*,2008,
Hezbollah (Lebanon)*,2009,33
Hezbollah (Lebanon)*,2010,30
Hezbollah (Lebanon)*,2011,
Hezbollah (Lebanon)*,2012,
Hezbollah (Lebanon)*,2013,
Hezbollah (Lebanon)*,2014,
Hezbollah (Lebanon)*,2015,
Hezbollah (Lebanon)*,2016,
Hezbollah (Lebanon)*,2017,
Hezbollah (Lebanon)*,2018,
Hezbollah (Lebanon)*,2019,
Hezbollah (Lebanon)*,2020,
Hezbollah (Lebanon)*,2021,
Hezbollah (Lebanon)*,2022,
Hezbollah (Lebanon)*,2023,1
Hezbollah (Lebanon)*,2024,
Hezbollah (Lebanon)*,2025,
