country,year,tiv
Houthi rebels (Yemen)*,1950,
Houthi rebels (Yemen)*,1951,
Houthi rebels (Yemen)*,1952,
Houthi rebels (Yemen)*,1953,
Houthi rebels (Yemen)*,1954,
Houthi rebels (Yemen)*,1955,
Houthi rebels (Yemen)*,1956,
Houthi rebels (Yemen)*,1957,
Houthi rebels (Yemen)*,1958,
Houthi rebels (Yemen)*,1959,
Houthi rebels (Yemen)*,1960,
Houthi rebels (Yemen)*,1961,
Houthi rebels (Yemen)*,1962,
Houthi rebels (Yemen)*,1963,
Houthi rebels (Yemen)*,1964,
Houthi rebels (Yemen)*,1965,
Houthi rebels (Yemen)*,1966,
Houthi rebels (Yemen)*,1967,
Houthi rebels (Yemen)*,1968,
Houthi rebels (Yemen)*,1969,
Houthi rebels (Yemen)*,1970,
Houthi rebels (Yemen)*,1971,
Houthi rebels (Yemen)*,1972,
Houthi rebels (Yemen)*,1973,
Houthi rebels (Yemen)*,1974,
Houthi rebels (Yemen)*,1975,
Houthi rebels (Yemen)*,1976,
Houthi rebels (Yemen)*,1977,
Houthi rebels (Yemen)*,1978,
Houthi rebels (Yemen)*,1979,
Houthi rebels (Yemen)*,1980,
Houthi rebels (Yemen)*,1981,
Houthi rebels (Yemen)*,1982,
Houthi rebels (Yemen)*,1983,
Houthi rebels (Yemen)*,1984,
Houthi rebels (Yemen)*,1985,
Houthi rebels (Yemen)*,1986,
Houthi rebels (Yemen)*,1987,
Houthi rebels (Yemen)*,1988,
Houthi rebels (Yemen)*,1989,
Houthi rebels (Yemen)*,1990,
Houthi rebels (Yemen)*,1991,
Houthi rebels (Yemen)*,1992,
Houthi rebels (Yemen)*,1993,
Houthi rebels (Yemen)*,1994,
Houthi rebels (Yemen)*,1995,
Houthi rebels (Yemen)*,1996,
Houthi rebels (Yemen)*,1997,
Houthi rebels (Yemen)*,1998,
Houthi rebels (Yemen)*,1999,
Houthi rebels (Yemen)*,2000,
Houthi rebels (Yemen)*,2001,
Houthi rebels (Yemen)*,2002,
Houthi rebels (Yemen)*,2003,
Houthi rebels (Yemen)*,2004,
Houthi rebels (Yemen)*,2005,
Houthi rebels (Yemen)*,2006,
Houthi rebels (Yemen)*,2007,
Houthi rebels (Yemen)*,2008,
Houthi rebels (Yemen)*,2009,
Houthi rebels (Yemen)*,2010,
Houthi rebels (Yemen)*,2011,
Houthi rebels (Yemen)*,2012,
Houthi rebels (Yemen)*,2013,
Houthi rebels (Yemen)*,2014,
Houthi rebels (Yemen)*,2015,
Houthi rebels (Yemen)*,2016,8
Houthi rebels (Yemen)*,2017,9
Houthi rebels (Yemen)*,2018,9
Houthi rebels (Yemen)*,2019,9
Houthi rebels (Yemen)*,2020,10
Houthi rebels (Yemen)*,2021,2
Houthi rebels (Yemen)*,2022,15
Houthi rebels (Yemen)*,2023,19
Houthi rebels (Yemen)*,2024,1
Houthi rebels (Yemen)*,2025,
