country,year,tiv
Hungary,1950,56
Hungary,1951,52
Hungary,1952,13
Hungary,1953,832
Hungary,1954,729
Hungary,1955,222
Hungary,1956,1
Hungary,1957,59
Hungary,1958,259
Hungary,1959,336
Hungary,1960,604
Hungary,1961,580
Hungary,1962,295
Hungary,1963,376
Hungary,1964,747
Hungary,1965,667
Hungary,1966,150
Hungary,1967,287
Hungary,1968,271
Hungary,1969,449
Hungary,1970,24
Hungary,1971,239
Hungary,1972,123
Hungary,1973,394
Hungary,1974,554
Hungary,1975,495
Hungary,1976,378
Hungary,1977,394
Hungary,1978,660
Hungary,1979,485
Hungary,1980,388
Hungary,1981,147
Hungary,1982,183
Hungary,1983,176
Hungary,1984,307
Hungary,1985,229
Hungary,1986,80
Hungary,1987,77
Hungary,1988,42
Hungary,1989,68
Hungary,1990,15
Hungary,1991,22
Hungary,1992,
Hungary,1993,928
Hungary,1994,2
Hungary,1995,1
Hungary,1996,156
Hungary,1997,99
Hungary,1998,88
Hungary,1999,152
Hungary,2000,14
Hungary,2001,14
Hungary,2002,
Hungary,2003,
Hungary,2004,72
Hungary,2005,13
Hungary,2006,253
Hungary,2007,196
Hungary,2008,5
Hungary,2009,4
Hungary,2010,18
Hungary,2011,8
Hungary,2012,
Hungary,2013,2
Hungary,2014,7
Hungary,2015,
Hungary,2016,14
Hungary,2017,5
Hungary,2018,27
Hungary,2019,16
Hungary,2020,55
Hungary,2021,20
Hungary,2022,40
Hungary,2023,246
Hungary,2024,581
Hungary,2025,402
