country,year,tiv
Indonesia,1950,195
Indonesia,1951,58
Indonesia,1952,14
Indonesia,1953,6
Indonesia,1954,16
Indonesia,1955,25
Indonesia,1956,42
Indonesia,1957,16
Indonesia,1958,687
Indonesia,1959,576
Indonesia,1960,448
Indonesia,1961,780
Indonesia,1962,1026
Indonesia,1963,206
Indonesia,1964,596
Indonesia,1965,317
Indonesia,1966,17
Indonesia,1967,1
Indonesia,1968,0
Indonesia,1969,9
Indonesia,1970,27
Indonesia,1971,92
Indonesia,1972,5
Indonesia,1973,73
Indonesia,1974,73
Indonesia,1975,4
Indonesia,1976,156
Indonesia,1977,62
Indonesia,1978,124
Indonesia,1979,370
Indonesia,1980,898
Indonesia,1981,790
Indonesia,1982,356
Indonesia,1983,224
Indonesia,1984,102
Indonesia,1985,291
Indonesia,1986,433
Indonesia,1987,265
Indonesia,1988,285
Indonesia,1989,249
Indonesia,1990,202
Indonesia,1991,11
Indonesia,1992,51
Indonesia,1993,210
Indonesia,1994,472
Indonesia,1995,284
Indonesia,1996,378
Indonesia,1997,101
Indonesia,1998,85
Indonesia,1999,161
Indonesia,2000,171
Indonesia,2001,22
Indonesia,2002,67
Indonesia,2003,353
Indonesia,2004,77
Indonesia,2005,33
Indonesia,2006,63
Indonesia,2007,578
Indonesia,2008,239
Indonesia,2009,443
Indonesia,2010,221
Indonesia,2011,257
Indonesia,2012,162
Indonesia,2013,833
Indonesia,2014,1195
Indonesia,2015,438
Indonesia,2016,352
Indonesia,2017,1171
Indonesia,2018,357
Indonesia,2019,239
Indonesia,2020,283
Indonesia,2021,366
Indonesia,2022,86
Indonesia,2023,390
Indonesia,2024,185
Indonesia,2025,1277
