country,year,tiv
Indonesia rebels*,1950,
Indonesia rebels*,1951,
Indonesia rebels*,1952,
Indonesia rebels*,1953,
Indonesia rebels*,1954,
Indonesia rebels*,1955,
Indonesia rebels*,1956,
Indonesia rebels*,1957,
Indonesia rebels*,1958,6
Indonesia rebels*,1959,
Indonesia rebels*,1960,
Indonesia rebels*,1961,
Indonesia rebels*,1962,
Indonesia rebels*,1963,
Indonesia rebels*,1964,
Indonesia rebels*,1965,
Indonesia rebels*,1966,
Indonesia rebels*,1967,
Indonesia rebels*,1968,
Indonesia rebels*,1969,
Indonesia rebels*,1970,
Indonesia rebels*,1971,
Indonesia rebels*,1972,
Indonesia rebels*,1973,
Indonesia rebels*,1974,
Indonesia rebels*,1975,
Indonesia rebels*,1976,
Indonesia rebels*,1977,
Indonesia rebels*,1978,
Indonesia rebels*,1979,
Indonesia rebels*,1980,
Indonesia rebels*,1981,
Indonesia rebels*,1982,
Indonesia rebels*,1983,
Indonesia rebels*,1984,
Indonesia rebels*,1985,
Indonesia rebels*,1986,
Indonesia rebels*,1987,
Indonesia rebels*,1988,
Indonesia rebels*,1989,
Indonesia rebels*,1990,
Indonesia rebels*,1991,
Indonesia rebels*,1992,
Indonesia rebels*,1993,
Indonesia rebels*,1994,
Indonesia rebels*,1995,
Indonesia rebels*,1996,
Indonesia rebels*,1997,
Indonesia rebels*,1998,
Indonesia rebels*,1999,
Indonesia rebels*,2000,
Indonesia rebels*,2001,
Indonesia rebels*,2002,
Indonesia rebels*,2003,
Indonesia rebels*,2004,
Indonesia rebels*,2005,
Indonesia rebels*,2006,
Indonesia rebels*,2007,
Indonesia rebels*,2008,
Indonesia rebels*,2009,
Indonesia rebels*,2010,
Indonesia rebels*,2011,
Indonesia rebels*,2012,
Indonesia rebels*,2013,
Indonesia rebels*,2014,
Indonesia rebels*,2015,
Indonesia rebels*,2016,
Indonesia rebels*,2017,
Indonesia rebels*,2018,
Indonesia rebels*,2019,
Indonesia rebels*,2020,
Indonesia rebels*,2021,
Indonesia rebels*,2022,
Indonesia rebels*,2023,
Indonesia rebels*,2024,
Indonesia rebels*,2025,
