country,year,tiv
Iran,1950,20
Iran,1951,6
Iran,1952,0
Iran,1953,1
Iran,1954,20
Iran,1955,35
Iran,1956,29
Iran,1957,54
Iran,1958,93
Iran,1959,75
Iran,1960,141
Iran,1961,75
Iran,1962,83
Iran,1963,105
Iran,1964,139
Iran,1965,496
Iran,1966,601
Iran,1967,553
Iran,1968,917
Iran,1969,950
Iran,1970,899
Iran,1971,2099
Iran,1972,1375
Iran,1973,2051
Iran,1974,2855
Iran,1975,5229
Iran,1976,4653
Iran,1977,5482
Iran,1978,3724
Iran,1979,526
Iran,1980,278
Iran,1981,487
Iran,1982,499
Iran,1983,466
Iran,1984,562
Iran,1985,639
Iran,1986,805
Iran,1987,807
Iran,1988,469
Iran,1989,194
Iran,1990,444
Iran,1991,990
Iran,1992,406
Iran,1993,960
Iran,1994,451
Iran,1995,289
Iran,1996,608
Iran,1997,172
Iran,1998,374
Iran,1999,321
Iran,2000,417
Iran,2001,526
Iran,2002,435
Iran,2003,283
Iran,2004,117
Iran,2005,53
Iran,2006,418
Iran,2007,325
Iran,2008,57
Iran,2009,92
Iran,2010,87
Iran,2011,89
Iran,2012,39
Iran,2013,14
Iran,2014,14
Iran,2015,11
Iran,2016,413
Iran,2017,3
Iran,2018,3
Iran,2019,3
Iran,2020,2
Iran,2021,
Iran,2022,
Iran,2023,21
Iran,2024,42
Iran,2025,
