country,year,tiv
Ireland,1950,2
Ireland,1951,
Ireland,1952,
Ireland,1953,18
Ireland,1954,
Ireland,1955,
Ireland,1956,8
Ireland,1957,
Ireland,1958,1
Ireland,1959,
Ireland,1960,1
Ireland,1961,
Ireland,1962,
Ireland,1963,2
Ireland,1964,12
Ireland,1965,
Ireland,1966,
Ireland,1967,
Ireland,1968,
Ireland,1969,
Ireland,1970,
Ireland,1971,14
Ireland,1972,27
Ireland,1973,8
Ireland,1974,6
Ireland,1975,9
Ireland,1976,
Ireland,1977,5
Ireland,1978,28
Ireland,1979,26
Ireland,1980,44
Ireland,1981,12
Ireland,1982,3
Ireland,1983,
Ireland,1984,11
Ireland,1985,2
Ireland,1986,38
Ireland,1987,
Ireland,1988,24
Ireland,1989,
Ireland,1990,
Ireland,1991,11
Ireland,1992,
Ireland,1993,
Ireland,1994,41
Ireland,1995,
Ireland,1996,
Ireland,1997,
Ireland,1998,3
Ireland,1999,35
Ireland,2000,0
Ireland,2001,44
Ireland,2002,21
Ireland,2003,
Ireland,2004,27
Ireland,2005,5
Ireland,2006,13
Ireland,2007,26
Ireland,2008,38
Ireland,2009,
Ireland,2010,4
Ireland,2011,
Ireland,2012,
Ireland,2013,
Ireland,2014,40
Ireland,2015,43
Ireland,2016,43
Ireland,2017,2
Ireland,2018,5
Ireland,2019,35
Ireland,2020,9
Ireland,2021,
Ireland,2022,1
Ireland,2023,63
Ireland,2024,
Ireland,2025,14
