country,year,tiv
Jamaica,1950,
Jamaica,1951,
Jamaica,1952,
Jamaica,1953,
Jamaica,1954,
Jamaica,1955,
Jamaica,1956,
Jamaica,1957,
Jamaica,1958,
Jamaica,1959,
Jamaica,1960,
Jamaica,1961,
Jamaica,1962,1
Jamaica,1963,1
Jamaica,1964,0
Jamaica,1965,
Jamaica,1966,
Jamaica,1967,3
Jamaica,1968,
Jamaica,1969,
Jamaica,1970,
Jamaica,1971,1
Jamaica,1972,
Jamaica,1973,13
Jamaica,1974,8
Jamaica,1975,4
Jamaica,1976,1
Jamaica,1977,3
Jamaica,1978,4
Jamaica,1979,
Jamaica,1980,
Jamaica,1981,0
Jamaica,1982,
Jamaica,1983,
Jamaica,1984,
Jamaica,1985,5
Jamaica,1986,3
Jamaica,1987,
Jamaica,1988,
Jamaica,1989,4
Jamaica,1990,
Jamaica,1991,
Jamaica,1992,
Jamaica,1993,
Jamaica,1994,
Jamaica,1995,
Jamaica,1996,
Jamaica,1997,
Jamaica,1998,10
Jamaica,1999,10
Jamaica,2000,
Jamaica,2001,
Jamaica,2002,
Jamaica,2003,
Jamaica,2004,
Jamaica,2005,10
Jamaica,2006,10
Jamaica,2007,14
Jamaica,2008,2
Jamaica,2009,
Jamaica,2010,1
Jamaica,2011,
Jamaica,2012,
Jamaica,2013,1
Jamaica,2014,
Jamaica,2015,2
Jamaica,2016,22
Jamaica,2017,
Jamaica,2018,19
Jamaica,2019,3
Jamaica,2020,10
Jamaica,2021,29
Jamaica,2022,
Jamaica,2023,10
Jamaica,2024,10
Jamaica,2025,
