country,year,tiv
Japan,1950,
Japan,1951,
Japan,1952,8
Japan,1953,223
Japan,1954,280
Japan,1955,412
Japan,1956,765
Japan,1957,1023
Japan,1958,1178
Japan,1959,666
Japan,1960,790
Japan,1961,335
Japan,1962,263
Japan,1963,239
Japan,1964,1716
Japan,1965,1155
Japan,1966,324
Japan,1967,610
Japan,1968,557
Japan,1969,488
Japan,1970,502
Japan,1971,605
Japan,1972,493
Japan,1973,468
Japan,1974,733
Japan,1975,1597
Japan,1976,1475
Japan,1977,788
Japan,1978,901
Japan,1979,920
Japan,1980,1029
Japan,1981,1308
Japan,1982,1444
Japan,1983,1692
Japan,1984,2051
Japan,1985,1966
Japan,1986,1893
Japan,1987,1942
Japan,1988,1998
Japan,1989,2283
Japan,1990,2682
Japan,1991,2940
Japan,1992,2519
Japan,1993,2130
Japan,1994,1016
Japan,1995,1255
Japan,1996,876
Japan,1997,843
Japan,1998,1489
Japan,1999,1257
Japan,2000,497
Japan,2001,427
Japan,2002,442
Japan,2003,458
Japan,2004,399
Japan,2005,375
Japan,2006,469
Japan,2007,553
Japan,2008,990
Japan,2009,990
Japan,2010,658
Japan,2011,300
Japan,2012,239
Japan,2013,341
Japan,2014,316
Japan,2015,343
Japan,2016,332
Japan,2017,446
Japan,2018,764
Japan,2019,992
Japan,2020,929
Japan,2021,1009
Japan,2022,1466
Japan,2023,852
Japan,2024,1043
Japan,2025,1715
