country,year,tiv
Jordan,1950,0
Jordan,1951,
Jordan,1952,7
Jordan,1953,0
Jordan,1954,6
Jordan,1955,13
Jordan,1956,30
Jordan,1957,15
Jordan,1958,44
Jordan,1959,4
Jordan,1960,53
Jordan,1961,26
Jordan,1962,66
Jordan,1963,39
Jordan,1964,33
Jordan,1965,56
Jordan,1966,95
Jordan,1967,126
Jordan,1968,48
Jordan,1969,173
Jordan,1970,147
Jordan,1971,90
Jordan,1972,87
Jordan,1973,56
Jordan,1974,132
Jordan,1975,372
Jordan,1976,383
Jordan,1977,457
Jordan,1978,576
Jordan,1979,256
Jordan,1980,359
Jordan,1981,401
Jordan,1982,1061
Jordan,1983,634
Jordan,1984,629
Jordan,1985,292
Jordan,1986,206
Jordan,1987,133
Jordan,1988,243
Jordan,1989,74
Jordan,1990,16
Jordan,1991,24
Jordan,1992,
Jordan,1993,1
Jordan,1994,5
Jordan,1995,19
Jordan,1996,75
Jordan,1997,77
Jordan,1998,248
Jordan,1999,63
Jordan,2000,139
Jordan,2001,160
Jordan,2002,132
Jordan,2003,281
Jordan,2004,168
Jordan,2005,79
Jordan,2006,50
Jordan,2007,180
Jordan,2008,157
Jordan,2009,230
Jordan,2010,87
Jordan,2011,211
Jordan,2012,185
Jordan,2013,72
Jordan,2014,194
Jordan,2015,228
Jordan,2016,243
Jordan,2017,363
Jordan,2018,170
Jordan,2019,213
Jordan,2020,148
Jordan,2021,67
Jordan,2022,50
Jordan,2023,22
Jordan,2024,34
Jordan,2025,
