country,year,tiv
Katanga,1950,
Katanga,1951,
Katanga,1952,
Katanga,1953,
Katanga,1954,
Katanga,1955,
Katanga,1956,
Katanga,1957,
Katanga,1958,
Katanga,1959,
Katanga,1960,1
Katanga,1961,8
Katanga,1962,
Katanga,1963,
Katanga,1964,
Katanga,1965,
Katanga,1966,
Katanga,1967,
Katanga,1968,
Katanga,1969,
Katanga,1970,
Katanga,1971,
Katanga,1972,
Katanga,1973,
Katanga,1974,
Katanga,1975,
Katanga,1976,
Katanga,1977,
Katanga,1978,
Katanga,1979,
Katanga,1980,
Katanga,1981,
Katanga,1982,
Katanga,1983,
Katanga,1984,
Katanga,1985,
Katanga,1986,
Katanga,1987,
Katanga,1988,
Katanga,1989,
Katanga,1990,
Katanga,1991,
Katanga,1992,
Katanga,1993,
Katanga,1994,
Katanga,1995,
Katanga,1996,
Katanga,1997,
Katanga,1998,
Katanga,1999,
Katanga,2000,
Katanga,2001,
Katanga,2002,
Katanga,2003,
Katanga,2004,
Katanga,2005,
Katanga,2006,
Katanga,2007,
Katanga,2008,
Katanga,2009,
Katanga,2010,
Katanga,2011,
Katanga,2012,
Katanga,2013,
Katanga,2014,
Katanga,2015,
Katanga,2016,
Katanga,2017,
Katanga,2018,
Katanga,2019,
Katanga,2020,
Katanga,2021,
Katanga,2022,
Katanga,2023,
Katanga,2024,
Katanga,2025,
