country,year,tiv
Kazakhstan,1950,
Kazakhstan,1951,
Kazakhstan,1952,
Kazakhstan,1953,
Kazakhstan,1954,
Kazakhstan,1955,
Kazakhstan,1956,
Kazakhstan,1957,
Kazakhstan,1958,
Kazakhstan,1959,
Kazakhstan,1960,
Kazakhstan,1961,
Kazakhstan,1962,
Kazakhstan,1963,
Kazakhstan,1964,
Kazakhstan,1965,
Kazakhstan,1966,
Kazakhstan,1967,
Kazakhstan,1968,
Kazakhstan,1969,
Kazakhstan,1970,
Kazakhstan,1971,
Kazakhstan,1972,
Kazakhstan,1973,
Kazakhstan,1974,
Kazakhstan,1975,
Kazakhstan,1976,
Kazakhstan,1977,
Kazakhstan,1978,
Kazakhstan,1979,
Kazakhstan,1980,
Kazakhstan,1981,
Kazakhstan,1982,
Kazakhstan,1983,
Kazakhstan,1984,
Kazakhstan,1985,
Kazakhstan,1986,
Kazakhstan,1987,
Kazakhstan,1988,
Kazakhstan,1989,
Kazakhstan,1990,
Kazakhstan,1991,
Kazakhstan,1992,
Kazakhstan,1993,
Kazakhstan,1994,
Kazakhstan,1995,99
Kazakhstan,1996,2
Kazakhstan,1997,64
Kazakhstan,1998,
Kazakhstan,1999,72
Kazakhstan,2000,121
Kazakhstan,2001,139
Kazakhstan,2002,22
Kazakhstan,2003,
Kazakhstan,2004,49
Kazakhstan,2005,44
Kazakhstan,2006,46
Kazakhstan,2007,83
Kazakhstan,2008,38
Kazakhstan,2009,53
Kazakhstan,2010,59
Kazakhstan,2011,63
Kazakhstan,2012,96
Kazakhstan,2013,143
Kazakhstan,2014,83
Kazakhstan,2015,446
Kazakhstan,2016,255
Kazakhstan,2017,221
Kazakhstan,2018,279
Kazakhstan,2019,232
Kazakhstan,2020,270
Kazakhstan,2021,195
Kazakhstan,2022,191
Kazakhstan,2023,223
Kazakhstan,2024,460
Kazakhstan,2025,18
