country,year,tiv
Kenya,1950,
Kenya,1951,
Kenya,1952,
Kenya,1953,
Kenya,1954,
Kenya,1955,
Kenya,1956,
Kenya,1957,
Kenya,1958,
Kenya,1959,
Kenya,1960,
Kenya,1961,
Kenya,1962,
Kenya,1963,
Kenya,1964,6
Kenya,1965,15
Kenya,1966,19
Kenya,1967,2
Kenya,1968,2
Kenya,1969,3
Kenya,1970,0
Kenya,1971,26
Kenya,1972,9
Kenya,1973,2
Kenya,1974,28
Kenya,1975,25
Kenya,1976,17
Kenya,1977,58
Kenya,1978,211
Kenya,1979,56
Kenya,1980,119
Kenya,1981,144
Kenya,1982,85
Kenya,1983,17
Kenya,1984,12
Kenya,1985,6
Kenya,1986,26
Kenya,1987,178
Kenya,1988,
Kenya,1989,47
Kenya,1990,43
Kenya,1991,14
Kenya,1992,
Kenya,1993,
Kenya,1994,30
Kenya,1995,
Kenya,1996,
Kenya,1997,61
Kenya,1998,
Kenya,1999,
Kenya,2000,15
Kenya,2001,
Kenya,2002,
Kenya,2003,
Kenya,2004,
Kenya,2005,
Kenya,2006,
Kenya,2007,11
Kenya,2008,
Kenya,2009,34
Kenya,2010,96
Kenya,2011,35
Kenya,2012,68
Kenya,2013,1
Kenya,2014,17
Kenya,2015,30
Kenya,2016,32
Kenya,2017,17
Kenya,2018,7
Kenya,2019,18
Kenya,2020,71
Kenya,2021,4
Kenya,2022,1
Kenya,2023,
Kenya,2024,19
Kenya,2025,117
