country,year,tiv
Kosovo,1950,
Kosovo,1951,
Kosovo,1952,
Kosovo,1953,
Kosovo,1954,
Kosovo,1955,
Kosovo,1956,
Kosovo,1957,
Kosovo,1958,
Kosovo,1959,
Kosovo,1960,
Kosovo,1961,
Kosovo,1962,
Kosovo,1963,
Kosovo,1964,
Kosovo,1965,
Kosovo,1966,
Kosovo,1967,
Kosovo,1968,
Kosovo,1969,
Kosovo,1970,
Kosovo,1971,
Kosovo,1972,
Kosovo,1973,
Kosovo,1974,
Kosovo,1975,
Kosovo,1976,
Kosovo,1977,
Kosovo,1978,
Kosovo,1979,
Kosovo,1980,
Kosovo,1981,
Kosovo,1982,
Kosovo,1983,
Kosovo,1984,
Kosovo,1985,
Kosovo,1986,
Kosovo,1987,
Kosovo,1988,
Kosovo,1989,
Kosovo,1990,
Kosovo,1991,
Kosovo,1992,
Kosovo,1993,
Kosovo,1994,
Kosovo,1995,
Kosovo,1996,
Kosovo,1997,
Kosovo,1998,
Kosovo,1999,
Kosovo,2000,
Kosovo,2001,
Kosovo,2002,
Kosovo,2003,
Kosovo,2004,
Kosovo,2005,
Kosovo,2006,
Kosovo,2007,
Kosovo,2008,
Kosovo,2009,
Kosovo,2010,
Kosovo,2011,
Kosovo,2012,
Kosovo,2013,
Kosovo,2014,1
Kosovo,2015,
Kosovo,2016,
Kosovo,2017,
Kosovo,2018,1
Kosovo,2019,
Kosovo,2020,3
Kosovo,2021,9
Kosovo,2022,1
Kosovo,2023,14
Kosovo,2024,
Kosovo,2025,8
