country,year,tiv
Kurdistan Regional Government (Iraq)*,1950,
Kurdistan Regional Government (Iraq)*,1951,
Kurdistan Regional Government (Iraq)*,1952,
Kurdistan Regional Government (Iraq)*,1953,
Kurdistan Regional Government (Iraq)*,1954,
Kurdistan Regional Government (Iraq)*,1955,
Kurdistan Regional Government (Iraq)*,1956,
Kurdistan Regional Government (Iraq)*,1957,
Kurdistan Regional Government (Iraq)*,1958,
Kurdistan Regional Government (Iraq)*,1959,
Kurdistan Regional Government (Iraq)*,1960,
Kurdistan Regional Government (Iraq)*,1961,
Kurdistan Regional Government (Iraq)*,1962,
Kurdistan Regional Government (Iraq)*,1963,
Kurdistan Regional Government (Iraq)*,1964,
Kurdistan Regional Government (Iraq)*,1965,
Kurdistan Regional Government (Iraq)*,1966,
Kurdistan Regional Government (Iraq)*,1967,
Kurdistan Regional Government (Iraq)*,1968,
Kurdistan Regional Government (Iraq)*,1969,
Kurdistan Regional Government (Iraq)*,1970,
Kurdistan Regional Government (Iraq)*,1971,
Kurdistan Regional Government (Iraq)*,1972,
Kurdistan Regional Government (Iraq)*,1973,
Kurdistan Regional Government (Iraq)*,1974,
Kurdistan Regional Government (Iraq)*,1975,
Kurdistan Regional Government (Iraq)*,1976,
Kurdistan Regional Government (Iraq)*,1977,
Kurdistan Regional Government (Iraq)*,1978,
Kurdistan Regional Government (Iraq)*,1979,
Kurdistan Regional Government (Iraq)*,1980,
Kurdistan Regional Government (Iraq)*,1981,
Kurdistan Regional Government (Iraq)*,1982,
Kurdistan Regional Government (Iraq)*,1983,
Kurdistan Regional Government (Iraq)*,1984,
Kurdistan Regional Government (Iraq)*,1985,
Kurdistan Regional Government (Iraq)*,1986,
Kurdistan Regional Government (Iraq)*,1987,
Kurdistan Regional Government (Iraq)*,1988,
Kurdistan Regional Government (Iraq)*,1989,
Kurdistan Regional Government (Iraq)*,1990,
Kurdistan Regional Government (Iraq)*,1991,
Kurdistan Regional Government (Iraq)*,1992,
Kurdistan Regional Government (Iraq)*,1993,
Kurdistan Regional Government (Iraq)*,1994,
Kurdistan Regional Government (Iraq)*,1995,
Kurdistan Regional Government (Iraq)*,1996,
Kurdistan Regional Government (Iraq)*,1997,
Kurdistan Regional Government (Iraq)*,1998,
Kurdistan Regional Government (Iraq)*,1999,
Kurdistan Regional Government (Iraq)*,2000,
Kurdistan Regional Government (Iraq)*,2001,
Kurdistan Regional Government (Iraq)*,2002,
Kurdistan Regional Government (Iraq)*,2003,
Kurdistan Regional Government (Iraq)*,2004,
Kurdistan Regional Government (Iraq)*,2005,
Kurdistan Regional Government (Iraq)*,2006,
Kurdistan Regional Government (Iraq)*,2007,
Kurdistan Regional Government (Iraq)*,2008,
Kurdistan Regional Government (Iraq)*,2009,
Kurdistan Regional Government (Iraq)*,2010,
Kurdistan Regional Government (Iraq)*,2011,
Kurdistan Regional Government (Iraq)*,2012,
Kurdistan Regional Government (Iraq)*,2013,
Kurdistan Regional Government (Iraq)*,2014,1
Kurdistan Regional Government (Iraq)*,2015,1
Kurdistan Regional Government (Iraq)*,2016,
Kurdistan Regional Government (Iraq)*,2017,
Kurdistan Regional Government (Iraq)*,2018,
Kurdistan Regional Government (Iraq)*,2019,
Kurdistan Regional Government (Iraq)*,2020,
Kurdistan Regional Government (Iraq)*,2021,
Kurdistan Regional Government (Iraq)*,2022,
Kurdistan Regional Government (Iraq)*,2023,
Kurdistan Regional Government (Iraq)*,2024,
Kurdistan Regional Government (Iraq)*,2025,
