country,year,tiv
Kuwait,1950,
Kuwait,1951,
Kuwait,1952,
Kuwait,1953,0
Kuwait,1954,5
Kuwait,1955,1
Kuwait,1956,
Kuwait,1957,
Kuwait,1958,2
Kuwait,1959,
Kuwait,1960,44
Kuwait,1961,4
Kuwait,1962,10
Kuwait,1963,5
Kuwait,1964,56
Kuwait,1965,23
Kuwait,1966,11
Kuwait,1967,
Kuwait,1968,104
Kuwait,1969,126
Kuwait,1970,59
Kuwait,1971,109
Kuwait,1972,30
Kuwait,1973,4
Kuwait,1974,5
Kuwait,1975,77
Kuwait,1976,230
Kuwait,1977,485
Kuwait,1978,504
Kuwait,1979,223
Kuwait,1980,35
Kuwait,1981,13
Kuwait,1982,173
Kuwait,1983,251
Kuwait,1984,454
Kuwait,1985,619
Kuwait,1986,167
Kuwait,1987,50
Kuwait,1988,6
Kuwait,1989,132
Kuwait,1990,324
Kuwait,1991,515
Kuwait,1992,896
Kuwait,1993,694
Kuwait,1994,36
Kuwait,1995,646
Kuwait,1996,1209
Kuwait,1997,482
Kuwait,1998,46
Kuwait,1999,198
Kuwait,2000,226
Kuwait,2001,67
Kuwait,2002,22
Kuwait,2003,42
Kuwait,2004,2
Kuwait,2005,12
Kuwait,2006,5
Kuwait,2007,288
Kuwait,2008,5
Kuwait,2009,8
Kuwait,2010,87
Kuwait,2011,116
Kuwait,2012,31
Kuwait,2013,73
Kuwait,2014,701
Kuwait,2015,317
Kuwait,2016,147
Kuwait,2017,113
Kuwait,2018,96
Kuwait,2019,55
Kuwait,2020,67
Kuwait,2021,1565
Kuwait,2022,1569
Kuwait,2023,497
Kuwait,2024,388
Kuwait,2025,311
