country,year,tiv
Kyrgyzstan,1950,
Kyrgyzstan,1951,
Kyrgyzstan,1952,
Kyrgyzstan,1953,
Kyrgyzstan,1954,
Kyrgyzstan,1955,
Kyrgyzstan,1956,
Kyrgyzstan,1957,
Kyrgyzstan,1958,
Kyrgyzstan,1959,
Kyrgyzstan,1960,
Kyrgyzstan,1961,
Kyrgyzstan,1962,
Kyrgyzstan,1963,
Kyrgyzstan,1964,
Kyrgyzstan,1965,
Kyrgyzstan,1966,
Kyrgyzstan,1967,
Kyrgyzstan,1968,
Kyrgyzstan,1969,
Kyrgyzstan,1970,
Kyrgyzstan,1971,
Kyrgyzstan,1972,
Kyrgyzstan,1973,
Kyrgyzstan,1974,
Kyrgyzstan,1975,
Kyrgyzstan,1976,
Kyrgyzstan,1977,
Kyrgyzstan,1978,
Kyrgyzstan,1979,
Kyrgyzstan,1980,
Kyrgyzstan,1981,
Kyrgyzstan,1982,
Kyrgyzstan,1983,
Kyrgyzstan,1984,
Kyrgyzstan,1985,
Kyrgyzstan,1986,
Kyrgyzstan,1987,
Kyrgyzstan,1988,
Kyrgyzstan,1989,
Kyrgyzstan,1990,
Kyrgyzstan,1991,
Kyrgyzstan,1992,
Kyrgyzstan,1993,
Kyrgyzstan,1994,
Kyrgyzstan,1995,
Kyrgyzstan,1996,
Kyrgyzstan,1997,
Kyrgyzstan,1998,
Kyrgyzstan,1999,
Kyrgyzstan,2000,
Kyrgyzstan,2001,
Kyrgyzstan,2002,
Kyrgyzstan,2003,10
Kyrgyzstan,2004,6
Kyrgyzstan,2005,3
Kyrgyzstan,2006,2
Kyrgyzstan,2007,
Kyrgyzstan,2008,
Kyrgyzstan,2009,
Kyrgyzstan,2010,
Kyrgyzstan,2011,
Kyrgyzstan,2012,
Kyrgyzstan,2013,
Kyrgyzstan,2014,
Kyrgyzstan,2015,4
Kyrgyzstan,2016,8
Kyrgyzstan,2017,12
Kyrgyzstan,2018,1
Kyrgyzstan,2019,15
Kyrgyzstan,2020,
Kyrgyzstan,2021,5
Kyrgyzstan,2022,14
Kyrgyzstan,2023,54
Kyrgyzstan,2024,
Kyrgyzstan,2025,
