country,year,tiv
LF (Lebanon)*,1950,
LF (Lebanon)*,1951,
LF (Lebanon)*,1952,
LF (Lebanon)*,1953,
LF (Lebanon)*,1954,
LF (Lebanon)*,1955,
LF (Lebanon)*,1956,
LF (Lebanon)*,1957,
LF (Lebanon)*,1958,
LF (Lebanon)*,1959,
LF (Lebanon)*,1960,
LF (Lebanon)*,1961,
LF (Lebanon)*,1962,
LF (Lebanon)*,1963,
LF (Lebanon)*,1964,
LF (Lebanon)*,1965,
LF (Lebanon)*,1966,
LF (Lebanon)*,1967,
LF (Lebanon)*,1968,
LF (Lebanon)*,1969,
LF (Lebanon)*,1970,
LF (Lebanon)*,1971,
LF (Lebanon)*,1972,
LF (Lebanon)*,1973,
LF (Lebanon)*,1974,
LF (Lebanon)*,1975,
LF (Lebanon)*,1976,16
LF (Lebanon)*,1977,
LF (Lebanon)*,1978,
LF (Lebanon)*,1979,
LF (Lebanon)*,1980,
LF (Lebanon)*,1981,
LF (Lebanon)*,1982,
LF (Lebanon)*,1983,
LF (Lebanon)*,1984,
LF (Lebanon)*,1985,
LF (Lebanon)*,1986,
LF (Lebanon)*,1987,12
LF (Lebanon)*,1988,53
LF (Lebanon)*,1989,20
LF (Lebanon)*,1990,
LF (Lebanon)*,1991,0
LF (Lebanon)*,1992,0
LF (Lebanon)*,1993,
LF (Lebanon)*,1994,
LF (Lebanon)*,1995,
LF (Lebanon)*,1996,
LF (Lebanon)*,1997,
LF (Lebanon)*,1998,
LF (Lebanon)*,1999,
LF (Lebanon)*,2000,
LF (Lebanon)*,2001,
LF (Lebanon)*,2002,
LF (Lebanon)*,2003,
LF (Lebanon)*,2004,
LF (Lebanon)*,2005,
LF (Lebanon)*,2006,
LF (Lebanon)*,2007,
LF (Lebanon)*,2008,
LF (Lebanon)*,2009,
LF (Lebanon)*,2010,
LF (Lebanon)*,2011,
LF (Lebanon)*,2012,
LF (Lebanon)*,2013,
LF (Lebanon)*,2014,
LF (Lebanon)*,2015,
LF (Lebanon)*,2016,
LF (Lebanon)*,2017,
LF (Lebanon)*,2018,
LF (Lebanon)*,2019,
LF (Lebanon)*,2020,
LF (Lebanon)*,2021,
LF (Lebanon)*,2022,
LF (Lebanon)*,2023,
LF (Lebanon)*,2024,
LF (Lebanon)*,2025,
