country,year,tiv
LRA (Uganda)*,1950,
LRA (Uganda)*,1951,
LRA (Uganda)*,1952,
LRA (Uganda)*,1953,
LRA (Uganda)*,1954,
LRA (Uganda)*,1955,
LRA (Uganda)*,1956,
LRA (Uganda)*,1957,
LRA (Uganda)*,1958,
LRA (Uganda)*,1959,
LRA (Uganda)*,1960,
LRA (Uganda)*,1961,
LRA (Uganda)*,1962,
LRA (Uganda)*,1963,
LRA (Uganda)*,1964,
LRA (Uganda)*,1965,
LRA (Uganda)*,1966,
LRA (Uganda)*,1967,
LRA (Uganda)*,1968,
LRA (Uganda)*,1969,
LRA (Uganda)*,1970,
LRA (Uganda)*,1971,
LRA (Uganda)*,1972,
LRA (Uganda)*,1973,
LRA (Uganda)*,1974,
LRA (Uganda)*,1975,
LRA (Uganda)*,1976,
LRA (Uganda)*,1977,
LRA (Uganda)*,1978,
LRA (Uganda)*,1979,
LRA (Uganda)*,1980,
LRA (Uganda)*,1981,
LRA (Uganda)*,1982,
LRA (Uganda)*,1983,
LRA (Uganda)*,1984,
LRA (Uganda)*,1985,
LRA (Uganda)*,1986,
LRA (Uganda)*,1987,
LRA (Uganda)*,1988,
LRA (Uganda)*,1989,
LRA (Uganda)*,1990,
LRA (Uganda)*,1991,
LRA (Uganda)*,1992,
LRA (Uganda)*,1993,
LRA (Uganda)*,1994,
LRA (Uganda)*,1995,
LRA (Uganda)*,1996,
LRA (Uganda)*,1997,
LRA (Uganda)*,1998,
LRA (Uganda)*,1999,
LRA (Uganda)*,2000,
LRA (Uganda)*,2001,
LRA (Uganda)*,2002,0
LRA (Uganda)*,2003,
LRA (Uganda)*,2004,
LRA (Uganda)*,2005,
LRA (Uganda)*,2006,
LRA (Uganda)*,2007,
LRA (Uganda)*,2008,
LRA (Uganda)*,2009,
LRA (Uganda)*,2010,
LRA (Uganda)*,2011,
LRA (Uganda)*,2012,
LRA (Uganda)*,2013,
LRA (Uganda)*,2014,
LRA (Uganda)*,2015,
LRA (Uganda)*,2016,
LRA (Uganda)*,2017,
LRA (Uganda)*,2018,
LRA (Uganda)*,2019,
LRA (Uganda)*,2020,
LRA (Uganda)*,2021,
LRA (Uganda)*,2022,
LRA (Uganda)*,2023,
LRA (Uganda)*,2024,
LRA (Uganda)*,2025,
