country,year,tiv
LTTE (Sri Lanka)*,1950,
LTTE (Sri Lanka)*,1951,
LTTE (Sri Lanka)*,1952,
LTTE (Sri Lanka)*,1953,
LTTE (Sri Lanka)*,1954,
LTTE (Sri Lanka)*,1955,
LTTE (Sri Lanka)*,1956,
LTTE (Sri Lanka)*,1957,
LTTE (Sri Lanka)*,1958,
LTTE (Sri Lanka)*,1959,
LTTE (Sri Lanka)*,1960,
LTTE (Sri Lanka)*,1961,
LTTE (Sri Lanka)*,1962,
LTTE (Sri Lanka)*,1963,
LTTE (Sri Lanka)*,1964,
LTTE (Sri Lanka)*,1965,
LTTE (Sri Lanka)*,1966,
LTTE (Sri Lanka)*,1967,
LTTE (Sri Lanka)*,1968,
LTTE (Sri Lanka)*,1969,
LTTE (Sri Lanka)*,1970,
LTTE (Sri Lanka)*,1971,
LTTE (Sri Lanka)*,1972,
LTTE (Sri Lanka)*,1973,
LTTE (Sri Lanka)*,1974,
LTTE (Sri Lanka)*,1975,
LTTE (Sri Lanka)*,1976,
LTTE (Sri Lanka)*,1977,
LTTE (Sri Lanka)*,1978,
LTTE (Sri Lanka)*,1979,
LTTE (Sri Lanka)*,1980,
LTTE (Sri Lanka)*,1981,
LTTE (Sri Lanka)*,1982,
LTTE (Sri Lanka)*,1983,
LTTE (Sri Lanka)*,1984,
LTTE (Sri Lanka)*,1985,
LTTE (Sri Lanka)*,1986,
LTTE (Sri Lanka)*,1987,
LTTE (Sri Lanka)*,1988,
LTTE (Sri Lanka)*,1989,
LTTE (Sri Lanka)*,1990,
LTTE (Sri Lanka)*,1991,
LTTE (Sri Lanka)*,1992,
LTTE (Sri Lanka)*,1993,
LTTE (Sri Lanka)*,1994,0
LTTE (Sri Lanka)*,1995,0
LTTE (Sri Lanka)*,1996,
LTTE (Sri Lanka)*,1997,
LTTE (Sri Lanka)*,1998,0
LTTE (Sri Lanka)*,1999,0
LTTE (Sri Lanka)*,2000,1
LTTE (Sri Lanka)*,2001,
LTTE (Sri Lanka)*,2002,3
LTTE (Sri Lanka)*,2003,
LTTE (Sri Lanka)*,2004,
LTTE (Sri Lanka)*,2005,0
LTTE (Sri Lanka)*,2006,
LTTE (Sri Lanka)*,2007,
LTTE (Sri Lanka)*,2008,
LTTE (Sri Lanka)*,2009,
LTTE (Sri Lanka)*,2010,
LTTE (Sri Lanka)*,2011,
LTTE (Sri Lanka)*,2012,
LTTE (Sri Lanka)*,2013,
LTTE (Sri Lanka)*,2014,
LTTE (Sri Lanka)*,2015,
LTTE (Sri Lanka)*,2016,
LTTE (Sri Lanka)*,2017,
LTTE (Sri Lanka)*,2018,
LTTE (Sri Lanka)*,2019,
LTTE (Sri Lanka)*,2020,
LTTE (Sri Lanka)*,2021,
LTTE (Sri Lanka)*,2022,
LTTE (Sri Lanka)*,2023,
LTTE (Sri Lanka)*,2024,
LTTE (Sri Lanka)*,2025,
