country,year,tiv
Laos,1950,
Laos,1951,
Laos,1952,
Laos,1953,
Laos,1954,1
Laos,1955,2
Laos,1956,1
Laos,1957,1
Laos,1958,10
Laos,1959,2
Laos,1960,3
Laos,1961,4
Laos,1962,19
Laos,1963,15
Laos,1964,7
Laos,1965,7
Laos,1966,14
Laos,1967,14
Laos,1968,4
Laos,1969,10
Laos,1970,23
Laos,1971,17
Laos,1972,14
Laos,1973,44
Laos,1974,1
Laos,1975,37
Laos,1976,21
Laos,1977,134
Laos,1978,26
Laos,1979,
Laos,1980,35
Laos,1981,54
Laos,1982,1
Laos,1983,94
Laos,1984,26
Laos,1985,59
Laos,1986,
Laos,1987,29
Laos,1988,18
Laos,1989,
Laos,1990,8
Laos,1991,
Laos,1992,
Laos,1993,
Laos,1994,
Laos,1995,
Laos,1996,
Laos,1997,43
Laos,1998,22
Laos,1999,30
Laos,2000,7
Laos,2001,
Laos,2002,
Laos,2003,0
Laos,2004,
Laos,2005,4
Laos,2006,
Laos,2007,
Laos,2008,7
Laos,2009,26
Laos,2010,
Laos,2011,15
Laos,2012,19
Laos,2013,19
Laos,2014,
Laos,2015,7
Laos,2016,
Laos,2017,2
Laos,2018,136
Laos,2019,27
Laos,2020,17
Laos,2021,3
Laos,2022,
Laos,2023,3
Laos,2024,7
Laos,2025,
