country,year,tiv
Latvia,1950,
Latvia,1951,
Latvia,1952,
Latvia,1953,
Latvia,1954,
Latvia,1955,
Latvia,1956,
Latvia,1957,
Latvia,1958,
Latvia,1959,
Latvia,1960,
Latvia,1961,
Latvia,1962,
Latvia,1963,
Latvia,1964,
Latvia,1965,
Latvia,1966,
Latvia,1967,
Latvia,1968,
Latvia,1969,
Latvia,1970,
Latvia,1971,
Latvia,1972,
Latvia,1973,
Latvia,1974,
Latvia,1975,
Latvia,1976,
Latvia,1977,
Latvia,1978,
Latvia,1979,
Latvia,1980,
Latvia,1981,
Latvia,1982,
Latvia,1983,
Latvia,1984,
Latvia,1985,
Latvia,1986,
Latvia,1987,
Latvia,1988,
Latvia,1989,
Latvia,1990,
Latvia,1991,
Latvia,1992,0
Latvia,1993,8
Latvia,1994,12
Latvia,1995,16
Latvia,1996,0
Latvia,1997,0
Latvia,1998,0
Latvia,1999,4
Latvia,2000,3
Latvia,2001,14
Latvia,2002,4
Latvia,2003,25
Latvia,2004,13
Latvia,2005,5
Latvia,2006,9
Latvia,2007,51
Latvia,2008,46
Latvia,2009,11
Latvia,2010,16
Latvia,2011,27
Latvia,2012,9
Latvia,2013,5
Latvia,2014,5
Latvia,2015,3
Latvia,2016,28
Latvia,2017,30
Latvia,2018,21
Latvia,2019,31
Latvia,2020,10
Latvia,2021,15
Latvia,2022,34
Latvia,2023,47
Latvia,2024,19
Latvia,2025,
