country,year,tiv
Lebanon,1950,0
Lebanon,1951,
Lebanon,1952,1
Lebanon,1953,8
Lebanon,1954,3
Lebanon,1955,17
Lebanon,1956,
Lebanon,1957,40
Lebanon,1958,71
Lebanon,1959,11
Lebanon,1960,
Lebanon,1961,5
Lebanon,1962,13
Lebanon,1963,18
Lebanon,1964,
Lebanon,1965,34
Lebanon,1966,72
Lebanon,1967,80
Lebanon,1968,1
Lebanon,1969,
Lebanon,1970,
Lebanon,1971,10
Lebanon,1972,52
Lebanon,1973,55
Lebanon,1974,41
Lebanon,1975,11
Lebanon,1976,4
Lebanon,1977,8
Lebanon,1978,2
Lebanon,1979,19
Lebanon,1980,37
Lebanon,1981,9
Lebanon,1982,36
Lebanon,1983,93
Lebanon,1984,206
Lebanon,1985,71
Lebanon,1986,
Lebanon,1987,
Lebanon,1988,
Lebanon,1989,
Lebanon,1990,
Lebanon,1991,
Lebanon,1992,40
Lebanon,1993,40
Lebanon,1994,18
Lebanon,1995,42
Lebanon,1996,27
Lebanon,1997,9
Lebanon,1998,8
Lebanon,1999,4
Lebanon,2000,4
Lebanon,2001,
Lebanon,2002,
Lebanon,2003,
Lebanon,2004,
Lebanon,2005,1
Lebanon,2006,
Lebanon,2007,5
Lebanon,2008,1
Lebanon,2009,52
Lebanon,2010,64
Lebanon,2011,1
Lebanon,2012,31
Lebanon,2013,27
Lebanon,2014,6
Lebanon,2015,48
Lebanon,2016,28
Lebanon,2017,48
Lebanon,2018,53
Lebanon,2019,56
Lebanon,2020,45
Lebanon,2021,43
Lebanon,2022,30
Lebanon,2023,14
Lebanon,2024,9
Lebanon,2025,
