country,year,tiv
Lebanon Palestinian rebels*,1950,
Lebanon Palestinian rebels*,1951,
Lebanon Palestinian rebels*,1952,
Lebanon Palestinian rebels*,1953,
Lebanon Palestinian rebels*,1954,
Lebanon Palestinian rebels*,1955,
Lebanon Palestinian rebels*,1956,
Lebanon Palestinian rebels*,1957,
Lebanon Palestinian rebels*,1958,
Lebanon Palestinian rebels*,1959,
Lebanon Palestinian rebels*,1960,
Lebanon Palestinian rebels*,1961,
Lebanon Palestinian rebels*,1962,
Lebanon Palestinian rebels*,1963,
Lebanon Palestinian rebels*,1964,
Lebanon Palestinian rebels*,1965,
Lebanon Palestinian rebels*,1966,
Lebanon Palestinian rebels*,1967,
Lebanon Palestinian rebels*,1968,
Lebanon Palestinian rebels*,1969,
Lebanon Palestinian rebels*,1970,
Lebanon Palestinian rebels*,1971,
Lebanon Palestinian rebels*,1972,
Lebanon Palestinian rebels*,1973,
Lebanon Palestinian rebels*,1974,
Lebanon Palestinian rebels*,1975,
Lebanon Palestinian rebels*,1976,
Lebanon Palestinian rebels*,1977,
Lebanon Palestinian rebels*,1978,
Lebanon Palestinian rebels*,1979,
Lebanon Palestinian rebels*,1980,5
Lebanon Palestinian rebels*,1981,6
Lebanon Palestinian rebels*,1982,7
Lebanon Palestinian rebels*,1983,
Lebanon Palestinian rebels*,1984,
Lebanon Palestinian rebels*,1985,
Lebanon Palestinian rebels*,1986,
Lebanon Palestinian rebels*,1987,
Lebanon Palestinian rebels*,1988,15
Lebanon Palestinian rebels*,1989,
Lebanon Palestinian rebels*,1990,
Lebanon Palestinian rebels*,1991,
Lebanon Palestinian rebels*,1992,
Lebanon Palestinian rebels*,1993,
Lebanon Palestinian rebels*,1994,
Lebanon Palestinian rebels*,1995,
Lebanon Palestinian rebels*,1996,
Lebanon Palestinian rebels*,1997,
Lebanon Palestinian rebels*,1998,
Lebanon Palestinian rebels*,1999,
Lebanon Palestinian rebels*,2000,
Lebanon Palestinian rebels*,2001,
Lebanon Palestinian rebels*,2002,
Lebanon Palestinian rebels*,2003,
Lebanon Palestinian rebels*,2004,
Lebanon Palestinian rebels*,2005,
Lebanon Palestinian rebels*,2006,
Lebanon Palestinian rebels*,2007,
Lebanon Palestinian rebels*,2008,
Lebanon Palestinian rebels*,2009,
Lebanon Palestinian rebels*,2010,
Lebanon Palestinian rebels*,2011,
Lebanon Palestinian rebels*,2012,
Lebanon Palestinian rebels*,2013,
Lebanon Palestinian rebels*,2014,
Lebanon Palestinian rebels*,2015,
Lebanon Palestinian rebels*,2016,
Lebanon Palestinian rebels*,2017,
Lebanon Palestinian rebels*,2018,
Lebanon Palestinian rebels*,2019,
Lebanon Palestinian rebels*,2020,
Lebanon Palestinian rebels*,2021,
Lebanon Palestinian rebels*,2022,
Lebanon Palestinian rebels*,2023,
Lebanon Palestinian rebels*,2024,
Lebanon Palestinian rebels*,2025,
