country,year,tiv
Lesotho,1950,
Lesotho,1951,
Lesotho,1952,
Lesotho,1953,
Lesotho,1954,
Lesotho,1955,
Lesotho,1956,
Lesotho,1957,
Lesotho,1958,
Lesotho,1959,
Lesotho,1960,
Lesotho,1961,
Lesotho,1962,
Lesotho,1963,
Lesotho,1964,
Lesotho,1965,
Lesotho,1966,
Lesotho,1967,
Lesotho,1968,
Lesotho,1969,
Lesotho,1970,
Lesotho,1971,
Lesotho,1972,
Lesotho,1973,
Lesotho,1974,
Lesotho,1975,
Lesotho,1976,
Lesotho,1977,1
Lesotho,1978,
Lesotho,1979,5
Lesotho,1980,3
Lesotho,1981,
Lesotho,1982,
Lesotho,1983,1
Lesotho,1984,
Lesotho,1985,0
Lesotho,1986,10
Lesotho,1987,
Lesotho,1988,
Lesotho,1989,8
Lesotho,1990,
Lesotho,1991,4
Lesotho,1992,
Lesotho,1993,
Lesotho,1994,
Lesotho,1995,
Lesotho,1996,
Lesotho,1997,
Lesotho,1998,5
Lesotho,1999,
Lesotho,2000,
Lesotho,2001,6
Lesotho,2002,
Lesotho,2003,
Lesotho,2004,1
Lesotho,2005,
Lesotho,2006,1
Lesotho,2007,
Lesotho,2008,
Lesotho,2009,
Lesotho,2010,
Lesotho,2011,
Lesotho,2012,
Lesotho,2013,
Lesotho,2014,
Lesotho,2015,
Lesotho,2016,
Lesotho,2017,1
Lesotho,2018,1
Lesotho,2019,1
Lesotho,2020,
Lesotho,2021,
Lesotho,2022,
Lesotho,2023,
Lesotho,2024,
Lesotho,2025,
