country,year,tiv
Liberia,1950,
Liberia,1951,
Liberia,1952,
Liberia,1953,
Liberia,1954,
Liberia,1955,
Liberia,1956,
Liberia,1957,
Liberia,1958,
Liberia,1959,1
Liberia,1960,
Liberia,1961,
Liberia,1962,
Liberia,1963,
Liberia,1964,2
Liberia,1965,
Liberia,1966,
Liberia,1967,18
Liberia,1968,
Liberia,1969,1
Liberia,1970,
Liberia,1971,1
Liberia,1972,1
Liberia,1973,
Liberia,1974,
Liberia,1975,
Liberia,1976,2
Liberia,1977,
Liberia,1978,1
Liberia,1979,
Liberia,1980,
Liberia,1981,
Liberia,1982,
Liberia,1983,
Liberia,1984,1
Liberia,1985,
Liberia,1986,3
Liberia,1987,9
Liberia,1988,
Liberia,1989,12
Liberia,1990,3
Liberia,1991,
Liberia,1992,
Liberia,1993,
Liberia,1994,
Liberia,1995,
Liberia,1996,
Liberia,1997,
Liberia,1998,
Liberia,1999,1
Liberia,2000,9
Liberia,2001,
Liberia,2002,
Liberia,2003,
Liberia,2004,
Liberia,2005,
Liberia,2006,
Liberia,2007,
Liberia,2008,
Liberia,2009,
Liberia,2010,
Liberia,2011,
Liberia,2012,
Liberia,2013,
Liberia,2014,
Liberia,2015,
Liberia,2016,
Liberia,2017,
Liberia,2018,
Liberia,2019,1
Liberia,2020,
Liberia,2021,
Liberia,2022,
Liberia,2023,14
Liberia,2024,
Liberia,2025,0
