country,year,tiv
Libya,1950,
Libya,1951,
Libya,1952,
Libya,1953,
Libya,1954,
Libya,1955,
Libya,1956,
Libya,1957,3
Libya,1958,
Libya,1959,1
Libya,1960,14
Libya,1961,17
Libya,1962,2
Libya,1963,3
Libya,1964,15
Libya,1965,9
Libya,1966,26
Libya,1967,12
Libya,1968,57
Libya,1969,152
Libya,1970,371
Libya,1971,540
Libya,1972,534
Libya,1973,733
Libya,1974,1767
Libya,1975,1647
Libya,1976,1848
Libya,1977,3054
Libya,1978,4222
Libya,1979,3067
Libya,1980,2951
Libya,1981,3155
Libya,1982,2752
Libya,1983,1422
Libya,1984,730
Libya,1985,746
Libya,1986,401
Libya,1987,184
Libya,1988,9
Libya,1989,218
Libya,1990,11
Libya,1991,
Libya,1992,
Libya,1993,
Libya,1994,
Libya,1995,
Libya,1996,
Libya,1997,
Libya,1998,
Libya,1999,6
Libya,2000,
Libya,2001,
Libya,2002,
Libya,2003,
Libya,2004,
Libya,2005,1
Libya,2006,16
Libya,2007,16
Libya,2008,16
Libya,2009,22
Libya,2010,37
Libya,2011,8
Libya,2012,75
Libya,2013,119
Libya,2014,
Libya,2015,
Libya,2016,2
Libya,2017,
Libya,2018,
Libya,2019,34
Libya,2020,0
Libya,2021,
Libya,2022,
Libya,2023,34
Libya,2024,5
Libya,2025,
