country,year,tiv
Lithuania,1950,
Lithuania,1951,
Lithuania,1952,
Lithuania,1953,
Lithuania,1954,
Lithuania,1955,
Lithuania,1956,
Lithuania,1957,
Lithuania,1958,
Lithuania,1959,
Lithuania,1960,
Lithuania,1961,
Lithuania,1962,
Lithuania,1963,
Lithuania,1964,
Lithuania,1965,
Lithuania,1966,
Lithuania,1967,
Lithuania,1968,
Lithuania,1969,
Lithuania,1970,
Lithuania,1971,
Lithuania,1972,
Lithuania,1973,
Lithuania,1974,
Lithuania,1975,
Lithuania,1976,
Lithuania,1977,
Lithuania,1978,
Lithuania,1979,
Lithuania,1980,
Lithuania,1981,
Lithuania,1982,
Lithuania,1983,
Lithuania,1984,
Lithuania,1985,
Lithuania,1986,
Lithuania,1987,
Lithuania,1988,
Lithuania,1989,
Lithuania,1990,
Lithuania,1991,
Lithuania,1992,70
Lithuania,1993,10
Lithuania,1994,
Lithuania,1995,5
Lithuania,1996,15
Lithuania,1997,
Lithuania,1998,15
Lithuania,1999,9
Lithuania,2000,6
Lithuania,2001,16
Lithuania,2002,14
Lithuania,2003,1
Lithuania,2004,47
Lithuania,2005,11
Lithuania,2006,53
Lithuania,2007,4
Lithuania,2008,27
Lithuania,2009,27
Lithuania,2010,8
Lithuania,2011,
Lithuania,2012,
Lithuania,2013,73
Lithuania,2014,10
Lithuania,2015,14
Lithuania,2016,34
Lithuania,2017,7
Lithuania,2018,8
Lithuania,2019,38
Lithuania,2020,119
Lithuania,2021,109
Lithuania,2022,75
Lithuania,2023,97
Lithuania,2024,77
Lithuania,2025,29
