country,year,tiv
MNLF (Philippines)*,1950,
MNLF (Philippines)*,1951,
MNLF (Philippines)*,1952,
MNLF (Philippines)*,1953,
MNLF (Philippines)*,1954,
MNLF (Philippines)*,1955,
MNLF (Philippines)*,1956,
MNLF (Philippines)*,1957,
MNLF (Philippines)*,1958,
MNLF (Philippines)*,1959,
MNLF (Philippines)*,1960,
MNLF (Philippines)*,1961,
MNLF (Philippines)*,1962,
MNLF (Philippines)*,1963,
MNLF (Philippines)*,1964,
MNLF (Philippines)*,1965,
MNLF (Philippines)*,1966,
MNLF (Philippines)*,1967,
MNLF (Philippines)*,1968,
MNLF (Philippines)*,1969,
MNLF (Philippines)*,1970,
MNLF (Philippines)*,1971,
MNLF (Philippines)*,1972,0
MNLF (Philippines)*,1973,
MNLF (Philippines)*,1974,
MNLF (Philippines)*,1975,
MNLF (Philippines)*,1976,
MNLF (Philippines)*,1977,
MNLF (Philippines)*,1978,
MNLF (Philippines)*,1979,
MNLF (Philippines)*,1980,
MNLF (Philippines)*,1981,
MNLF (Philippines)*,1982,
MNLF (Philippines)*,1983,
MNLF (Philippines)*,1984,
MNLF (Philippines)*,1985,
MNLF (Philippines)*,1986,
MNLF (Philippines)*,1987,
MNLF (Philippines)*,1988,
MNLF (Philippines)*,1989,
MNLF (Philippines)*,1990,
MNLF (Philippines)*,1991,
MNLF (Philippines)*,1992,
MNLF (Philippines)*,1993,
MNLF (Philippines)*,1994,
MNLF (Philippines)*,1995,
MNLF (Philippines)*,1996,
MNLF (Philippines)*,1997,
MNLF (Philippines)*,1998,
MNLF (Philippines)*,1999,
MNLF (Philippines)*,2000,
MNLF (Philippines)*,2001,
MNLF (Philippines)*,2002,
MNLF (Philippines)*,2003,
MNLF (Philippines)*,2004,
MNLF (Philippines)*,2005,
MNLF (Philippines)*,2006,
MNLF (Philippines)*,2007,
MNLF (Philippines)*,2008,
MNLF (Philippines)*,2009,
MNLF (Philippines)*,2010,
MNLF (Philippines)*,2011,
MNLF (Philippines)*,2012,
MNLF (Philippines)*,2013,
MNLF (Philippines)*,2014,
MNLF (Philippines)*,2015,
MNLF (Philippines)*,2016,
MNLF (Philippines)*,2017,
MNLF (Philippines)*,2018,
MNLF (Philippines)*,2019,
MNLF (Philippines)*,2020,
MNLF (Philippines)*,2021,
MNLF (Philippines)*,2022,
MNLF (Philippines)*,2023,
MNLF (Philippines)*,2024,
MNLF (Philippines)*,2025,
