country,year,tiv
MPLA (Portugal)*,1950,
MPLA (Portugal)*,1951,
MPLA (Portugal)*,1952,
MPLA (Portugal)*,1953,
MPLA (Portugal)*,1954,
MPLA (Portugal)*,1955,
MPLA (Portugal)*,1956,
MPLA (Portugal)*,1957,
MPLA (Portugal)*,1958,
MPLA (Portugal)*,1959,
MPLA (Portugal)*,1960,
MPLA (Portugal)*,1961,
MPLA (Portugal)*,1962,
MPLA (Portugal)*,1963,
MPLA (Portugal)*,1964,
MPLA (Portugal)*,1965,
MPLA (Portugal)*,1966,
MPLA (Portugal)*,1967,
MPLA (Portugal)*,1968,
MPLA (Portugal)*,1969,
MPLA (Portugal)*,1970,
MPLA (Portugal)*,1971,
MPLA (Portugal)*,1972,0
MPLA (Portugal)*,1973,1
MPLA (Portugal)*,1974,
MPLA (Portugal)*,1975,
MPLA (Portugal)*,1976,
MPLA (Portugal)*,1977,
MPLA (Portugal)*,1978,
MPLA (Portugal)*,1979,
MPLA (Portugal)*,1980,
MPLA (Portugal)*,1981,
MPLA (Portugal)*,1982,
MPLA (Portugal)*,1983,
MPLA (Portugal)*,1984,
MPLA (Portugal)*,1985,
MPLA (Portugal)*,1986,
MPLA (Portugal)*,1987,
MPLA (Portugal)*,1988,
MPLA (Portugal)*,1989,
MPLA (Portugal)*,1990,
MPLA (Portugal)*,1991,
MPLA (Portugal)*,1992,
MPLA (Portugal)*,1993,
MPLA (Portugal)*,1994,
MPLA (Portugal)*,1995,
MPLA (Portugal)*,1996,
MPLA (Portugal)*,1997,
MPLA (Portugal)*,1998,
MPLA (Portugal)*,1999,
MPLA (Portugal)*,2000,
MPLA (Portugal)*,2001,
MPLA (Portugal)*,2002,
MPLA (Portugal)*,2003,
MPLA (Portugal)*,2004,
MPLA (Portugal)*,2005,
MPLA (Portugal)*,2006,
MPLA (Portugal)*,2007,
MPLA (Portugal)*,2008,
MPLA (Portugal)*,2009,
MPLA (Portugal)*,2010,
MPLA (Portugal)*,2011,
MPLA (Portugal)*,2012,
MPLA (Portugal)*,2013,
MPLA (Portugal)*,2014,
MPLA (Portugal)*,2015,
MPLA (Portugal)*,2016,
MPLA (Portugal)*,2017,
MPLA (Portugal)*,2018,
MPLA (Portugal)*,2019,
MPLA (Portugal)*,2020,
MPLA (Portugal)*,2021,
MPLA (Portugal)*,2022,
MPLA (Portugal)*,2023,
MPLA (Portugal)*,2024,
MPLA (Portugal)*,2025,
