country,year,tiv
MTA (Myanmar)*,1950,
MTA (Myanmar)*,1951,
MTA (Myanmar)*,1952,
MTA (Myanmar)*,1953,
MTA (Myanmar)*,1954,
MTA (Myanmar)*,1955,
MTA (Myanmar)*,1956,
MTA (Myanmar)*,1957,
MTA (Myanmar)*,1958,
MTA (Myanmar)*,1959,
MTA (Myanmar)*,1960,
MTA (Myanmar)*,1961,
MTA (Myanmar)*,1962,
MTA (Myanmar)*,1963,
MTA (Myanmar)*,1964,
MTA (Myanmar)*,1965,
MTA (Myanmar)*,1966,
MTA (Myanmar)*,1967,
MTA (Myanmar)*,1968,
MTA (Myanmar)*,1969,
MTA (Myanmar)*,1970,
MTA (Myanmar)*,1971,
MTA (Myanmar)*,1972,
MTA (Myanmar)*,1973,
MTA (Myanmar)*,1974,
MTA (Myanmar)*,1975,
MTA (Myanmar)*,1976,
MTA (Myanmar)*,1977,
MTA (Myanmar)*,1978,
MTA (Myanmar)*,1979,
MTA (Myanmar)*,1980,
MTA (Myanmar)*,1981,
MTA (Myanmar)*,1982,
MTA (Myanmar)*,1983,
MTA (Myanmar)*,1984,
MTA (Myanmar)*,1985,
MTA (Myanmar)*,1986,
MTA (Myanmar)*,1987,
MTA (Myanmar)*,1988,
MTA (Myanmar)*,1989,
MTA (Myanmar)*,1990,
MTA (Myanmar)*,1991,
MTA (Myanmar)*,1992,
MTA (Myanmar)*,1993,0
MTA (Myanmar)*,1994,0
MTA (Myanmar)*,1995,
MTA (Myanmar)*,1996,
MTA (Myanmar)*,1997,
MTA (Myanmar)*,1998,
MTA (Myanmar)*,1999,
MTA (Myanmar)*,2000,
MTA (Myanmar)*,2001,
MTA (Myanmar)*,2002,
MTA (Myanmar)*,2003,
MTA (Myanmar)*,2004,
MTA (Myanmar)*,2005,
MTA (Myanmar)*,2006,
MTA (Myanmar)*,2007,
MTA (Myanmar)*,2008,
MTA (Myanmar)*,2009,
MTA (Myanmar)*,2010,
MTA (Myanmar)*,2011,
MTA (Myanmar)*,2012,
MTA (Myanmar)*,2013,
MTA (Myanmar)*,2014,
MTA (Myanmar)*,2015,
MTA (Myanmar)*,2016,
MTA (Myanmar)*,2017,
MTA (Myanmar)*,2018,
MTA (Myanmar)*,2019,
MTA (Myanmar)*,2020,
MTA (Myanmar)*,2021,
MTA (Myanmar)*,2022,
MTA (Myanmar)*,2023,
MTA (Myanmar)*,2024,
MTA (Myanmar)*,2025,
