country,year,tiv
Madagascar,1950,
Madagascar,1951,
Madagascar,1952,
Madagascar,1953,
Madagascar,1954,
Madagascar,1955,
Madagascar,1956,
Madagascar,1957,
Madagascar,1958,
Madagascar,1959,
Madagascar,1960,
Madagascar,1961,3
Madagascar,1962,
Madagascar,1963,1
Madagascar,1964,0
Madagascar,1965,8
Madagascar,1966,
Madagascar,1967,12
Madagascar,1968,1
Madagascar,1969,1
Madagascar,1970,
Madagascar,1971,0
Madagascar,1972,0
Madagascar,1973,
Madagascar,1974,17
Madagascar,1975,6
Madagascar,1976,
Madagascar,1977,
Madagascar,1978,
Madagascar,1979,64
Madagascar,1980,43
Madagascar,1981,1
Madagascar,1982,
Madagascar,1983,8
Madagascar,1984,
Madagascar,1985,6
Madagascar,1986,
Madagascar,1987,
Madagascar,1988,
Madagascar,1989,
Madagascar,1990,
Madagascar,1991,
Madagascar,1992,
Madagascar,1993,
Madagascar,1994,
Madagascar,1995,
Madagascar,1996,21
Madagascar,1997,
Madagascar,1998,
Madagascar,1999,
Madagascar,2000,
Madagascar,2001,
Madagascar,2002,
Madagascar,2003,
Madagascar,2004,
Madagascar,2005,
Madagascar,2006,
Madagascar,2007,
Madagascar,2008,
Madagascar,2009,
Madagascar,2010,
Madagascar,2011,
Madagascar,2012,
Madagascar,2013,
Madagascar,2014,
Madagascar,2015,
Madagascar,2016,
Madagascar,2017,
Madagascar,2018,2
Madagascar,2019,1
Madagascar,2020,1
Madagascar,2021,
Madagascar,2022,
Madagascar,2023,
Madagascar,2024,
Madagascar,2025,3
