country,year,tiv
Malawi,1950,
Malawi,1951,
Malawi,1952,
Malawi,1953,
Malawi,1954,
Malawi,1955,
Malawi,1956,
Malawi,1957,
Malawi,1958,
Malawi,1959,
Malawi,1960,
Malawi,1961,
Malawi,1962,
Malawi,1963,
Malawi,1964,5
Malawi,1965,
Malawi,1966,
Malawi,1967,
Malawi,1968,
Malawi,1969,
Malawi,1970,
Malawi,1971,
Malawi,1972,0
Malawi,1973,
Malawi,1974,
Malawi,1975,
Malawi,1976,2
Malawi,1977,6
Malawi,1978,7
Malawi,1979,8
Malawi,1980,14
Malawi,1981,14
Malawi,1982,
Malawi,1983,
Malawi,1984,1
Malawi,1985,7
Malawi,1986,10
Malawi,1987,1
Malawi,1988,2
Malawi,1989,4
Malawi,1990,11
Malawi,1991,
Malawi,1992,
Malawi,1993,
Malawi,1994,4
Malawi,1995,
Malawi,1996,
Malawi,1997,
Malawi,1998,
Malawi,1999,
Malawi,2000,
Malawi,2001,
Malawi,2002,
Malawi,2003,
Malawi,2004,
Malawi,2005,
Malawi,2006,
Malawi,2007,
Malawi,2008,3
Malawi,2009,
Malawi,2010,
Malawi,2011,
Malawi,2012,1
Malawi,2013,3
Malawi,2014,2
Malawi,2015,3
Malawi,2016,0
Malawi,2017,
Malawi,2018,
Malawi,2019,
Malawi,2020,
Malawi,2021,
Malawi,2022,19
Malawi,2023,
Malawi,2024,2
Malawi,2025,
