country,year,tiv
Mali,1950,
Mali,1951,
Mali,1952,
Mali,1953,
Mali,1954,
Mali,1955,
Mali,1956,
Mali,1957,
Mali,1958,
Mali,1959,
Mali,1960,
Mali,1961,3
Mali,1962,10
Mali,1963,4
Mali,1964,
Mali,1965,
Mali,1966,1
Mali,1967,12
Mali,1968,
Mali,1969,2
Mali,1970,
Mali,1971,15
Mali,1972,
Mali,1973,
Mali,1974,
Mali,1975,11
Mali,1976,89
Mali,1977,
Mali,1978,
Mali,1979,
Mali,1980,
Mali,1981,91
Mali,1982,4
Mali,1983,15
Mali,1984,13
Mali,1985,0
Mali,1986,
Mali,1987,
Mali,1988,2
Mali,1989,
Mali,1990,1
Mali,1991,
Mali,1992,
Mali,1993,
Mali,1994,0
Mali,1995,
Mali,1996,
Mali,1997,9
Mali,1998,4
Mali,1999,
Mali,2000,7
Mali,2001,
Mali,2002,1
Mali,2003,3
Mali,2004,
Mali,2005,13
Mali,2006,
Mali,2007,8
Mali,2008,3
Mali,2009,10
Mali,2010,
Mali,2011,0
Mali,2012,9
Mali,2013,7
Mali,2014,1
Mali,2015,
Mali,2016,22
Mali,2017,32
Mali,2018,27
Mali,2019,20
Mali,2020,49
Mali,2021,39
Mali,2022,62
Mali,2023,82
Mali,2024,25
Mali,2025,64
