country,year,tiv
Malta,1950,
Malta,1951,
Malta,1952,
Malta,1953,
Malta,1954,
Malta,1955,
Malta,1956,
Malta,1957,
Malta,1958,
Malta,1959,
Malta,1960,
Malta,1961,
Malta,1962,
Malta,1963,
Malta,1964,
Malta,1965,
Malta,1966,
Malta,1967,
Malta,1968,
Malta,1969,
Malta,1970,
Malta,1971,
Malta,1972,0
Malta,1973,0
Malta,1974,
Malta,1975,
Malta,1976,
Malta,1977,
Malta,1978,8
Malta,1979,
Malta,1980,1
Malta,1981,
Malta,1982,
Malta,1983,
Malta,1984,
Malta,1985,
Malta,1986,
Malta,1987,
Malta,1988,
Malta,1989,
Malta,1990,
Malta,1991,
Malta,1992,13
Malta,1993,
Malta,1994,
Malta,1995,0
Malta,1996,1
Malta,1997,6
Malta,1998,0
Malta,1999,
Malta,2000,0
Malta,2001,0
Malta,2002,4
Malta,2003,
Malta,2004,4
Malta,2005,18
Malta,2006,
Malta,2007,
Malta,2008,
Malta,2009,
Malta,2010,
Malta,2011,8
Malta,2012,8
Malta,2013,
Malta,2014,12
Malta,2015,10
Malta,2016,6
Malta,2017,8
Malta,2018,
Malta,2019,
Malta,2020,
Malta,2021,
Malta,2022,
Malta,2023,45
Malta,2024,
Malta,2025,
