country,year,tiv
Mauritius,1950,
Mauritius,1951,
Mauritius,1952,
Mauritius,1953,
Mauritius,1954,
Mauritius,1955,
Mauritius,1956,
Mauritius,1957,
Mauritius,1958,
Mauritius,1959,
Mauritius,1960,
Mauritius,1961,
Mauritius,1962,
Mauritius,1963,
Mauritius,1964,
Mauritius,1965,
Mauritius,1966,
Mauritius,1967,
Mauritius,1968,0
Mauritius,1969,
Mauritius,1970,
Mauritius,1971,0
Mauritius,1972,
Mauritius,1973,
Mauritius,1974,2
Mauritius,1975,
Mauritius,1976,
Mauritius,1977,
Mauritius,1978,
Mauritius,1979,3
Mauritius,1980,
Mauritius,1981,
Mauritius,1982,
Mauritius,1983,
Mauritius,1984,
Mauritius,1985,1
Mauritius,1986,
Mauritius,1987,
Mauritius,1988,
Mauritius,1989,
Mauritius,1990,10
Mauritius,1991,
Mauritius,1992,
Mauritius,1993,8
Mauritius,1994,
Mauritius,1995,
Mauritius,1996,33
Mauritius,1997,1
Mauritius,1998,
Mauritius,1999,
Mauritius,2000,
Mauritius,2001,
Mauritius,2002,
Mauritius,2003,
Mauritius,2004,10
Mauritius,2005,
Mauritius,2006,
Mauritius,2007,
Mauritius,2008,
Mauritius,2009,
Mauritius,2010,
Mauritius,2011,
Mauritius,2012,
Mauritius,2013,
Mauritius,2014,28
Mauritius,2015,
Mauritius,2016,28
Mauritius,2017,19
Mauritius,2018,
Mauritius,2019,
Mauritius,2020,
Mauritius,2021,1
Mauritius,2022,4
Mauritius,2023,
Mauritius,2024,
Mauritius,2025,
