country,year,tiv
Mongolia,1950,
Mongolia,1951,5
Mongolia,1952,28
Mongolia,1953,5
Mongolia,1954,3
Mongolia,1955,10
Mongolia,1956,9
Mongolia,1957,12
Mongolia,1958,12
Mongolia,1959,
Mongolia,1960,10
Mongolia,1961,66
Mongolia,1962,90
Mongolia,1963,86
Mongolia,1964,120
Mongolia,1965,137
Mongolia,1966,116
Mongolia,1967,63
Mongolia,1968,15
Mongolia,1969,22
Mongolia,1970,15
Mongolia,1971,13
Mongolia,1972,8
Mongolia,1973,58
Mongolia,1974,76
Mongolia,1975,195
Mongolia,1976,31
Mongolia,1977,30
Mongolia,1978,47
Mongolia,1979,29
Mongolia,1980,60
Mongolia,1981,72
Mongolia,1982,156
Mongolia,1983,118
Mongolia,1984,114
Mongolia,1985,98
Mongolia,1986,27
Mongolia,1987,36
Mongolia,1988,27
Mongolia,1989,
Mongolia,1990,
Mongolia,1991,
Mongolia,1992,
Mongolia,1993,
Mongolia,1994,
Mongolia,1995,
Mongolia,1996,
Mongolia,1997,
Mongolia,1998,
Mongolia,1999,
Mongolia,2000,
Mongolia,2001,
Mongolia,2002,
Mongolia,2003,
Mongolia,2004,
Mongolia,2005,
Mongolia,2006,
Mongolia,2007,
Mongolia,2008,15
Mongolia,2009,
Mongolia,2010,64
Mongolia,2011,3
Mongolia,2012,78
Mongolia,2013,
Mongolia,2014,
Mongolia,2015,73
Mongolia,2016,
Mongolia,2017,
Mongolia,2018,
Mongolia,2019,17
Mongolia,2020,
Mongolia,2021,25
Mongolia,2022,3
Mongolia,2023,
Mongolia,2024,
Mongolia,2025,
