country,year,tiv
Morocco,1950,
Morocco,1951,
Morocco,1952,
Morocco,1953,
Morocco,1954,
Morocco,1955,
Morocco,1956,28
Morocco,1957,14
Morocco,1958,10
Morocco,1959,13
Morocco,1960,22
Morocco,1961,37
Morocco,1962,93
Morocco,1963,16
Morocco,1964,16
Morocco,1965,82
Morocco,1966,159
Morocco,1967,149
Morocco,1968,93
Morocco,1969,41
Morocco,1970,80
Morocco,1971,1
Morocco,1972,
Morocco,1973,21
Morocco,1974,198
Morocco,1975,207
Morocco,1976,216
Morocco,1977,408
Morocco,1978,419
Morocco,1979,725
Morocco,1980,469
Morocco,1981,800
Morocco,1982,529
Morocco,1983,396
Morocco,1984,74
Morocco,1985,50
Morocco,1986,31
Morocco,1987,32
Morocco,1988,117
Morocco,1989,126
Morocco,1990,137
Morocco,1991,62
Morocco,1992,17
Morocco,1993,98
Morocco,1994,117
Morocco,1995,28
Morocco,1996,89
Morocco,1997,220
Morocco,1998,
Morocco,1999,60
Morocco,2000,127
Morocco,2001,11
Morocco,2002,155
Morocco,2003,12
Morocco,2004,14
Morocco,2005,101
Morocco,2006,47
Morocco,2007,27
Morocco,2008,46
Morocco,2009,39
Morocco,2010,347
Morocco,2011,1289
Morocco,2012,1052
Morocco,2013,62
Morocco,2014,572
Morocco,2015,47
Morocco,2016,287
Morocco,2017,605
Morocco,2018,462
Morocco,2019,48
Morocco,2020,16
Morocco,2021,53
Morocco,2022,507
Morocco,2023,501
Morocco,2024,130
Morocco,2025,392
