country,year,tiv
Mujahedin (Afghanistan)*,1950,
Mujahedin (Afghanistan)*,1951,
Mujahedin (Afghanistan)*,1952,
Mujahedin (Afghanistan)*,1953,
Mujahedin (Afghanistan)*,1954,
Mujahedin (Afghanistan)*,1955,
Mujahedin (Afghanistan)*,1956,
Mujahedin (Afghanistan)*,1957,
Mujahedin (Afghanistan)*,1958,
Mujahedin (Afghanistan)*,1959,
Mujahedin (Afghanistan)*,1960,
Mujahedin (Afghanistan)*,1961,
Mujahedin (Afghanistan)*,1962,
Mujahedin (Afghanistan)*,1963,
Mujahedin (Afghanistan)*,1964,
Mujahedin (Afghanistan)*,1965,
Mujahedin (Afghanistan)*,1966,
Mujahedin (Afghanistan)*,1967,
Mujahedin (Afghanistan)*,1968,
Mujahedin (Afghanistan)*,1969,
Mujahedin (Afghanistan)*,1970,
Mujahedin (Afghanistan)*,1971,
Mujahedin (Afghanistan)*,1972,
Mujahedin (Afghanistan)*,1973,
Mujahedin (Afghanistan)*,1974,
Mujahedin (Afghanistan)*,1975,
Mujahedin (Afghanistan)*,1976,
Mujahedin (Afghanistan)*,1977,
Mujahedin (Afghanistan)*,1978,
Mujahedin (Afghanistan)*,1979,
Mujahedin (Afghanistan)*,1980,
Mujahedin (Afghanistan)*,1981,
Mujahedin (Afghanistan)*,1982,2
Mujahedin (Afghanistan)*,1983,2
Mujahedin (Afghanistan)*,1984,7
Mujahedin (Afghanistan)*,1985,7
Mujahedin (Afghanistan)*,1986,29
Mujahedin (Afghanistan)*,1987,59
Mujahedin (Afghanistan)*,1988,21
Mujahedin (Afghanistan)*,1989,11
Mujahedin (Afghanistan)*,1990,
Mujahedin (Afghanistan)*,1991,
Mujahedin (Afghanistan)*,1992,
Mujahedin (Afghanistan)*,1993,
Mujahedin (Afghanistan)*,1994,
Mujahedin (Afghanistan)*,1995,
Mujahedin (Afghanistan)*,1996,
Mujahedin (Afghanistan)*,1997,
Mujahedin (Afghanistan)*,1998,
Mujahedin (Afghanistan)*,1999,
Mujahedin (Afghanistan)*,2000,
Mujahedin (Afghanistan)*,2001,
Mujahedin (Afghanistan)*,2002,
Mujahedin (Afghanistan)*,2003,
Mujahedin (Afghanistan)*,2004,
Mujahedin (Afghanistan)*,2005,
Mujahedin (Afghanistan)*,2006,
Mujahedin (Afghanistan)*,2007,
Mujahedin (Afghanistan)*,2008,
Mujahedin (Afghanistan)*,2009,
Mujahedin (Afghanistan)*,2010,
Mujahedin (Afghanistan)*,2011,
Mujahedin (Afghanistan)*,2012,
Mujahedin (Afghanistan)*,2013,
Mujahedin (Afghanistan)*,2014,
Mujahedin (Afghanistan)*,2015,
Mujahedin (Afghanistan)*,2016,
Mujahedin (Afghanistan)*,2017,
Mujahedin (Afghanistan)*,2018,
Mujahedin (Afghanistan)*,2019,
Mujahedin (Afghanistan)*,2020,
Mujahedin (Afghanistan)*,2021,
Mujahedin (Afghanistan)*,2022,
Mujahedin (Afghanistan)*,2023,
Mujahedin (Afghanistan)*,2024,
Mujahedin (Afghanistan)*,2025,
