country,year,tiv
Myanmar,1950,4
Myanmar,1951,0
Myanmar,1952,0
Myanmar,1953,16
Myanmar,1954,39
Myanmar,1955,47
Myanmar,1956,30
Myanmar,1957,53
Myanmar,1958,61
Myanmar,1959,29
Myanmar,1960,6
Myanmar,1961,17
Myanmar,1962,14
Myanmar,1963,28
Myanmar,1964,18
Myanmar,1965,19
Myanmar,1966,3
Myanmar,1967,14
Myanmar,1968,6
Myanmar,1969,22
Myanmar,1970,4
Myanmar,1971,28
Myanmar,1972,4
Myanmar,1973,
Myanmar,1974,
Myanmar,1975,53
Myanmar,1976,10
Myanmar,1977,9
Myanmar,1978,25
Myanmar,1979,19
Myanmar,1980,40
Myanmar,1981,
Myanmar,1982,38
Myanmar,1983,
Myanmar,1984,
Myanmar,1985,
Myanmar,1986,9
Myanmar,1987,
Myanmar,1988,
Myanmar,1989,34
Myanmar,1990,278
Myanmar,1991,239
Myanmar,1992,31
Myanmar,1993,331
Myanmar,1994,97
Myanmar,1995,224
Myanmar,1996,115
Myanmar,1997,231
Myanmar,1998,156
Myanmar,1999,141
Myanmar,2000,16
Myanmar,2001,153
Myanmar,2002,156
Myanmar,2003,100
Myanmar,2004,192
Myanmar,2005,179
Myanmar,2006,206
Myanmar,2007,153
Myanmar,2008,80
Myanmar,2009,65
Myanmar,2010,62
Myanmar,2011,668
Myanmar,2012,398
Myanmar,2013,252
Myanmar,2014,112
Myanmar,2015,258
Myanmar,2016,284
Myanmar,2017,210
Myanmar,2018,203
Myanmar,2019,206
Myanmar,2020,217
Myanmar,2021,67
Myanmar,2022,229
Myanmar,2023,132
Myanmar,2024,222
Myanmar,2025,70
