country,year,tiv
NATO**,1950,
NATO**,1951,
NATO**,1952,
NATO**,1953,
NATO**,1954,
NATO**,1955,
NATO**,1956,
NATO**,1957,26
NATO**,1958,26
NATO**,1959,26
NATO**,1960,26
NATO**,1961,22
NATO**,1962,5
NATO**,1963,
NATO**,1964,
NATO**,1965,
NATO**,1966,
NATO**,1967,7
NATO**,1968,14
NATO**,1969,14
NATO**,1970,14
NATO**,1971,
NATO**,1972,
NATO**,1973,
NATO**,1974,
NATO**,1975,
NATO**,1976,
NATO**,1977,
NATO**,1978,
NATO**,1979,
NATO**,1980,
NATO**,1981,
NATO**,1982,1250
NATO**,1983,1250
NATO**,1984,1250
NATO**,1985,802
NATO**,1986,
NATO**,1987,
NATO**,1988,18
NATO**,1989,36
NATO**,1990,
NATO**,1991,
NATO**,1992,
NATO**,1993,
NATO**,1994,
NATO**,1995,
NATO**,1996,
NATO**,1997,
NATO**,1998,
NATO**,1999,18
NATO**,2000,
NATO**,2001,18
NATO**,2002,
NATO**,2003,
NATO**,2004,
NATO**,2005,
NATO**,2006,116
NATO**,2007,
NATO**,2008,
NATO**,2009,420
NATO**,2010,
NATO**,2011,
NATO**,2012,22
NATO**,2013,
NATO**,2014,
NATO**,2015,
NATO**,2016,12
NATO**,2017,25
NATO**,2018,21
NATO**,2019,70
NATO**,2020,465
NATO**,2021,240
NATO**,2022,240
NATO**,2023,
NATO**,2024,120
NATO**,2025,120
