country,year,tiv
NTC (Libya)*,1950,
NTC (Libya)*,1951,
NTC (Libya)*,1952,
NTC (Libya)*,1953,
NTC (Libya)*,1954,
NTC (Libya)*,1955,
NTC (Libya)*,1956,
NTC (Libya)*,1957,
NTC (Libya)*,1958,
NTC (Libya)*,1959,
NTC (Libya)*,1960,
NTC (Libya)*,1961,
NTC (Libya)*,1962,
NTC (Libya)*,1963,
NTC (Libya)*,1964,
NTC (Libya)*,1965,
NTC (Libya)*,1966,
NTC (Libya)*,1967,
NTC (Libya)*,1968,
NTC (Libya)*,1969,
NTC (Libya)*,1970,
NTC (Libya)*,1971,
NTC (Libya)*,1972,
NTC (Libya)*,1973,
NTC (Libya)*,1974,
NTC (Libya)*,1975,
NTC (Libya)*,1976,
NTC (Libya)*,1977,
NTC (Libya)*,1978,
NTC (Libya)*,1979,
NTC (Libya)*,1980,
NTC (Libya)*,1981,
NTC (Libya)*,1982,
NTC (Libya)*,1983,
NTC (Libya)*,1984,
NTC (Libya)*,1985,
NTC (Libya)*,1986,
NTC (Libya)*,1987,
NTC (Libya)*,1988,
NTC (Libya)*,1989,
NTC (Libya)*,1990,
NTC (Libya)*,1991,
NTC (Libya)*,1992,
NTC (Libya)*,1993,
NTC (Libya)*,1994,
NTC (Libya)*,1995,
NTC (Libya)*,1996,
NTC (Libya)*,1997,
NTC (Libya)*,1998,
NTC (Libya)*,1999,
NTC (Libya)*,2000,
NTC (Libya)*,2001,
NTC (Libya)*,2002,
NTC (Libya)*,2003,
NTC (Libya)*,2004,
NTC (Libya)*,2005,
NTC (Libya)*,2006,
NTC (Libya)*,2007,
NTC (Libya)*,2008,
NTC (Libya)*,2009,
NTC (Libya)*,2010,
NTC (Libya)*,2011,1
NTC (Libya)*,2012,
NTC (Libya)*,2013,
NTC (Libya)*,2014,
NTC (Libya)*,2015,
NTC (Libya)*,2016,
NTC (Libya)*,2017,
NTC (Libya)*,2018,
NTC (Libya)*,2019,
NTC (Libya)*,2020,
NTC (Libya)*,2021,
NTC (Libya)*,2022,
NTC (Libya)*,2023,
NTC (Libya)*,2024,
NTC (Libya)*,2025,
