country,year,tiv
Namibia,1950,
Namibia,1951,
Namibia,1952,
Namibia,1953,
Namibia,1954,
Namibia,1955,
Namibia,1956,
Namibia,1957,
Namibia,1958,
Namibia,1959,
Namibia,1960,
Namibia,1961,
Namibia,1962,
Namibia,1963,
Namibia,1964,
Namibia,1965,
Namibia,1966,
Namibia,1967,
Namibia,1968,
Namibia,1969,
Namibia,1970,
Namibia,1971,
Namibia,1972,
Namibia,1973,
Namibia,1974,
Namibia,1975,
Namibia,1976,
Namibia,1977,
Namibia,1978,
Namibia,1979,
Namibia,1980,
Namibia,1981,
Namibia,1982,
Namibia,1983,
Namibia,1984,
Namibia,1985,
Namibia,1986,
Namibia,1987,
Namibia,1988,
Namibia,1989,
Namibia,1990,
Namibia,1991,
Namibia,1992,
Namibia,1993,
Namibia,1994,2
Namibia,1995,4
Namibia,1996,
Namibia,1997,5
Namibia,1998,5
Namibia,1999,
Namibia,2000,
Namibia,2001,21
Namibia,2002,11
Namibia,2003,
Namibia,2004,16
Namibia,2005,
Namibia,2006,75
Namibia,2007,
Namibia,2008,25
Namibia,2009,15
Namibia,2010,3
Namibia,2011,1
Namibia,2012,57
Namibia,2013,9
Namibia,2014,2
Namibia,2015,
Namibia,2016,3
Namibia,2017,35
Namibia,2018,
Namibia,2019,
Namibia,2020,
Namibia,2021,
Namibia,2022,
Namibia,2023,
Namibia,2024,56
Namibia,2025,0
