country,year,tiv
Nepal,1950,
Nepal,1951,
Nepal,1952,
Nepal,1953,
Nepal,1954,
Nepal,1955,
Nepal,1956,
Nepal,1957,
Nepal,1958,
Nepal,1959,
Nepal,1960,
Nepal,1961,
Nepal,1962,
Nepal,1963,
Nepal,1964,
Nepal,1965,2
Nepal,1966,0
Nepal,1967,
Nepal,1968,
Nepal,1969,
Nepal,1970,8
Nepal,1971,8
Nepal,1972,3
Nepal,1973,5
Nepal,1974,2
Nepal,1975,15
Nepal,1976,6
Nepal,1977,
Nepal,1978,
Nepal,1979,
Nepal,1980,
Nepal,1981,1
Nepal,1982,
Nepal,1983,
Nepal,1984,3
Nepal,1985,4
Nepal,1986,
Nepal,1987,
Nepal,1988,
Nepal,1989,1
Nepal,1990,
Nepal,1991,
Nepal,1992,5
Nepal,1993,
Nepal,1994,
Nepal,1995,1
Nepal,1996,
Nepal,1997,
Nepal,1998,
Nepal,1999,
Nepal,2000,
Nepal,2001,12
Nepal,2002,10
Nepal,2003,10
Nepal,2004,36
Nepal,2005,7
Nepal,2006,
Nepal,2007,
Nepal,2008,1
Nepal,2009,
Nepal,2010,
Nepal,2011,3
Nepal,2012,
Nepal,2013,
Nepal,2014,5
Nepal,2015,15
Nepal,2016,9
Nepal,2017,1
Nepal,2018,7
Nepal,2019,38
Nepal,2020,
Nepal,2021,0
Nepal,2022,
Nepal,2023,
Nepal,2024,
Nepal,2025,6
