country,year,tiv
Netherlands,1950,158
Netherlands,1951,454
Netherlands,1952,423
Netherlands,1953,972
Netherlands,1954,784
Netherlands,1955,722
Netherlands,1956,1110
Netherlands,1957,717
Netherlands,1958,455
Netherlands,1959,146
Netherlands,1960,255
Netherlands,1961,227
Netherlands,1962,294
Netherlands,1963,767
Netherlands,1964,1014
Netherlands,1965,815
Netherlands,1966,204
Netherlands,1967,751
Netherlands,1968,288
Netherlands,1969,569
Netherlands,1970,699
Netherlands,1971,698
Netherlands,1972,650
Netherlands,1973,21
Netherlands,1974,40
Netherlands,1975,108
Netherlands,1976,285
Netherlands,1977,606
Netherlands,1978,717
Netherlands,1979,792
Netherlands,1980,645
Netherlands,1981,755
Netherlands,1982,1241
Netherlands,1983,1331
Netherlands,1984,1173
Netherlands,1985,892
Netherlands,1986,792
Netherlands,1987,614
Netherlands,1988,393
Netherlands,1989,705
Netherlands,1990,273
Netherlands,1991,322
Netherlands,1992,237
Netherlands,1993,140
Netherlands,1994,205
Netherlands,1995,84
Netherlands,1996,203
Netherlands,1997,126
Netherlands,1998,269
Netherlands,1999,278
Netherlands,2000,123
Netherlands,2001,164
Netherlands,2002,247
Netherlands,2003,128
Netherlands,2004,130
Netherlands,2005,86
Netherlands,2006,304
Netherlands,2007,221
Netherlands,2008,147
Netherlands,2009,262
Netherlands,2010,171
Netherlands,2011,115
Netherlands,2012,190
Netherlands,2013,488
Netherlands,2014,8
Netherlands,2015,51
Netherlands,2016,69
Netherlands,2017,33
Netherlands,2018,139
Netherlands,2019,494
Netherlands,2020,575
Netherlands,2021,512
Netherlands,2022,725
Netherlands,2023,374
Netherlands,2024,333
Netherlands,2025,824
