country,year,tiv
Nicaragua,1950,
Nicaragua,1951,
Nicaragua,1952,
Nicaragua,1953,3
Nicaragua,1954,15
Nicaragua,1955,27
Nicaragua,1956,1
Nicaragua,1957,2
Nicaragua,1958,6
Nicaragua,1959,
Nicaragua,1960,2
Nicaragua,1961,8
Nicaragua,1962,6
Nicaragua,1963,6
Nicaragua,1964,2
Nicaragua,1965,0
Nicaragua,1966,2
Nicaragua,1967,
Nicaragua,1968,
Nicaragua,1969,
Nicaragua,1970,
Nicaragua,1971,5
Nicaragua,1972,5
Nicaragua,1973,10
Nicaragua,1974,
Nicaragua,1975,
Nicaragua,1976,8
Nicaragua,1977,19
Nicaragua,1978,13
Nicaragua,1979,
Nicaragua,1980,
Nicaragua,1981,44
Nicaragua,1982,69
Nicaragua,1983,50
Nicaragua,1984,167
Nicaragua,1985,90
Nicaragua,1986,91
Nicaragua,1987,157
Nicaragua,1988,63
Nicaragua,1989,14
Nicaragua,1990,107
Nicaragua,1991,1
Nicaragua,1992,
Nicaragua,1993,
Nicaragua,1994,
Nicaragua,1995,
Nicaragua,1996,
Nicaragua,1997,
Nicaragua,1998,
Nicaragua,1999,
Nicaragua,2000,
Nicaragua,2001,
Nicaragua,2002,
Nicaragua,2003,
Nicaragua,2004,
Nicaragua,2005,
Nicaragua,2006,
Nicaragua,2007,14
Nicaragua,2008,
Nicaragua,2009,15
Nicaragua,2010,
Nicaragua,2011,
Nicaragua,2012,
Nicaragua,2013,
Nicaragua,2014,13
Nicaragua,2015,14
Nicaragua,2016,86
Nicaragua,2017,7
Nicaragua,2018,
Nicaragua,2019,13
Nicaragua,2020,
Nicaragua,2021,
Nicaragua,2022,
Nicaragua,2023,
Nicaragua,2024,
Nicaragua,2025,
