country,year,tiv
Niger,1950,
Niger,1951,
Niger,1952,
Niger,1953,
Niger,1954,
Niger,1955,
Niger,1956,
Niger,1957,
Niger,1958,
Niger,1959,
Niger,1960,1
Niger,1961,1
Niger,1962,
Niger,1963,
Niger,1964,1
Niger,1965,1
Niger,1966,
Niger,1967,
Niger,1968,
Niger,1969,2
Niger,1970,1
Niger,1971,12
Niger,1972,
Niger,1973,
Niger,1974,3
Niger,1975,
Niger,1976,
Niger,1977,
Niger,1978,2
Niger,1979,57
Niger,1980,8
Niger,1981,
Niger,1982,6
Niger,1983,25
Niger,1984,3
Niger,1985,
Niger,1986,3
Niger,1987,
Niger,1988,
Niger,1989,
Niger,1990,
Niger,1991,14
Niger,1992,
Niger,1993,
Niger,1994,
Niger,1995,
Niger,1996,
Niger,1997,3
Niger,1998,
Niger,1999,
Niger,2000,
Niger,2001,
Niger,2002,
Niger,2003,6
Niger,2004,
Niger,2005,
Niger,2006,
Niger,2007,
Niger,2008,8
Niger,2009,1
Niger,2010,
Niger,2011,
Niger,2012,
Niger,2013,12
Niger,2014,3
Niger,2015,10
Niger,2016,0
Niger,2017,3
Niger,2018,1
Niger,2019,5
Niger,2020,19
Niger,2021,16
Niger,2022,34
Niger,2023,19
Niger,2024,4
Niger,2025,4
