country,year,tiv
Nigeria,1950,
Nigeria,1951,
Nigeria,1952,
Nigeria,1953,
Nigeria,1954,
Nigeria,1955,
Nigeria,1956,
Nigeria,1957,
Nigeria,1958,
Nigeria,1959,5
Nigeria,1960,
Nigeria,1961,1
Nigeria,1962,8
Nigeria,1963,9
Nigeria,1964,2
Nigeria,1965,56
Nigeria,1966,159
Nigeria,1967,47
Nigeria,1968,50
Nigeria,1969,39
Nigeria,1970,14
Nigeria,1971,12
Nigeria,1972,113
Nigeria,1973,7
Nigeria,1974,24
Nigeria,1975,424
Nigeria,1976,104
Nigeria,1977,90
Nigeria,1978,142
Nigeria,1979,108
Nigeria,1980,474
Nigeria,1981,331
Nigeria,1982,642
Nigeria,1983,41
Nigeria,1984,359
Nigeria,1985,569
Nigeria,1986,211
Nigeria,1987,115
Nigeria,1988,62
Nigeria,1989,15
Nigeria,1990,18
Nigeria,1991,4
Nigeria,1992,59
Nigeria,1993,41
Nigeria,1994,95
Nigeria,1995,2
Nigeria,1996,15
Nigeria,1997,1
Nigeria,1998,
Nigeria,1999,
Nigeria,2000,36
Nigeria,2001,9
Nigeria,2002,6
Nigeria,2003,66
Nigeria,2004,11
Nigeria,2005,
Nigeria,2006,16
Nigeria,2007,62
Nigeria,2008,33
Nigeria,2009,65
Nigeria,2010,223
Nigeria,2011,63
Nigeria,2012,28
Nigeria,2013,30
Nigeria,2014,236
Nigeria,2015,188
Nigeria,2016,61
Nigeria,2017,42
Nigeria,2018,49
Nigeria,2019,18
Nigeria,2020,84
Nigeria,2021,273
Nigeria,2022,53
Nigeria,2023,93
Nigeria,2024,93
Nigeria,2025,21
