country,year,tiv
North Korea,1950,885
North Korea,1951,406
North Korea,1952,235
North Korea,1953,718
North Korea,1954,285
North Korea,1955,371
North Korea,1956,456
North Korea,1957,468
North Korea,1958,874
North Korea,1959,619
North Korea,1960,405
North Korea,1961,69
North Korea,1962,181
North Korea,1963,197
North Korea,1964,168
North Korea,1965,118
North Korea,1966,832
North Korea,1967,846
North Korea,1968,1308
North Korea,1969,609
North Korea,1970,649
North Korea,1971,1502
North Korea,1972,482
North Korea,1973,535
North Korea,1974,793
North Korea,1975,561
North Korea,1976,487
North Korea,1977,297
North Korea,1978,354
North Korea,1979,313
North Korea,1980,487
North Korea,1981,347
North Korea,1982,527
North Korea,1983,339
North Korea,1984,112
North Korea,1985,963
North Korea,1986,1075
North Korea,1987,813
North Korea,1988,818
North Korea,1989,561
North Korea,1990,340
North Korea,1991,251
North Korea,1992,183
North Korea,1993,146
North Korea,1994,79
North Korea,1995,184
North Korea,1996,118
North Korea,1997,54
North Korea,1998,54
North Korea,1999,54
North Korea,2000,63
North Korea,2001,73
North Korea,2002,54
North Korea,2003,35
North Korea,2004,8
North Korea,2005,5
North Korea,2006,5
North Korea,2007,5
North Korea,2008,5
North Korea,2009,4
North Korea,2010,1
North Korea,2011,
North Korea,2012,
North Korea,2013,
North Korea,2014,
North Korea,2015,
North Korea,2016,
North Korea,2017,
North Korea,2018,
North Korea,2019,
North Korea,2020,
North Korea,2021,
North Korea,2022,
North Korea,2023,
North Korea,2024,
North Korea,2025,
