country,year,tiv
North Yemen,1950,0
North Yemen,1951,
North Yemen,1952,4
North Yemen,1953,
North Yemen,1954,
North Yemen,1955,1
North Yemen,1956,
North Yemen,1957,40
North Yemen,1958,8
North Yemen,1959,
North Yemen,1960,
North Yemen,1961,23
North Yemen,1962,
North Yemen,1963,1
North Yemen,1964,
North Yemen,1965,
North Yemen,1966,1
North Yemen,1967,
North Yemen,1968,
North Yemen,1969,
North Yemen,1970,
North Yemen,1971,
North Yemen,1972,
North Yemen,1973,
North Yemen,1974,9
North Yemen,1975,9
North Yemen,1976,0
North Yemen,1977,13
North Yemen,1978,14
North Yemen,1979,744
North Yemen,1980,705
North Yemen,1981,154
North Yemen,1982,45
North Yemen,1983,9
North Yemen,1984,104
North Yemen,1985,108
North Yemen,1986,
North Yemen,1987,
North Yemen,1988,80
North Yemen,1989,
North Yemen,1990,
North Yemen,1991,
North Yemen,1992,
North Yemen,1993,
North Yemen,1994,
North Yemen,1995,
North Yemen,1996,
North Yemen,1997,
North Yemen,1998,
North Yemen,1999,
North Yemen,2000,
North Yemen,2001,
North Yemen,2002,
North Yemen,2003,
North Yemen,2004,
North Yemen,2005,
North Yemen,2006,
North Yemen,2007,
North Yemen,2008,
North Yemen,2009,
North Yemen,2010,
North Yemen,2011,
North Yemen,2012,
North Yemen,2013,
North Yemen,2014,
North Yemen,2015,
North Yemen,2016,
North Yemen,2017,
North Yemen,2018,
North Yemen,2019,
North Yemen,2020,
North Yemen,2021,
North Yemen,2022,
North Yemen,2023,
North Yemen,2024,
North Yemen,2025,
