country,year,tiv
Northern Alliance (Afghanistan)*,1950,
Northern Alliance (Afghanistan)*,1951,
Northern Alliance (Afghanistan)*,1952,
Northern Alliance (Afghanistan)*,1953,
Northern Alliance (Afghanistan)*,1954,
Northern Alliance (Afghanistan)*,1955,
Northern Alliance (Afghanistan)*,1956,
Northern Alliance (Afghanistan)*,1957,
Northern Alliance (Afghanistan)*,1958,
Northern Alliance (Afghanistan)*,1959,
Northern Alliance (Afghanistan)*,1960,
Northern Alliance (Afghanistan)*,1961,
Northern Alliance (Afghanistan)*,1962,
Northern Alliance (Afghanistan)*,1963,
Northern Alliance (Afghanistan)*,1964,
Northern Alliance (Afghanistan)*,1965,
Northern Alliance (Afghanistan)*,1966,
Northern Alliance (Afghanistan)*,1967,
Northern Alliance (Afghanistan)*,1968,
Northern Alliance (Afghanistan)*,1969,
Northern Alliance (Afghanistan)*,1970,
Northern Alliance (Afghanistan)*,1971,
Northern Alliance (Afghanistan)*,1972,
Northern Alliance (Afghanistan)*,1973,
Northern Alliance (Afghanistan)*,1974,
Northern Alliance (Afghanistan)*,1975,
Northern Alliance (Afghanistan)*,1976,
Northern Alliance (Afghanistan)*,1977,
Northern Alliance (Afghanistan)*,1978,
Northern Alliance (Afghanistan)*,1979,
Northern Alliance (Afghanistan)*,1980,
Northern Alliance (Afghanistan)*,1981,
Northern Alliance (Afghanistan)*,1982,
Northern Alliance (Afghanistan)*,1983,
Northern Alliance (Afghanistan)*,1984,
Northern Alliance (Afghanistan)*,1985,
Northern Alliance (Afghanistan)*,1986,
Northern Alliance (Afghanistan)*,1987,
Northern Alliance (Afghanistan)*,1988,
Northern Alliance (Afghanistan)*,1989,
Northern Alliance (Afghanistan)*,1990,
Northern Alliance (Afghanistan)*,1991,
Northern Alliance (Afghanistan)*,1992,
Northern Alliance (Afghanistan)*,1993,
Northern Alliance (Afghanistan)*,1994,
Northern Alliance (Afghanistan)*,1995,
Northern Alliance (Afghanistan)*,1996,
Northern Alliance (Afghanistan)*,1997,
Northern Alliance (Afghanistan)*,1998,
Northern Alliance (Afghanistan)*,1999,2
Northern Alliance (Afghanistan)*,2000,20
Northern Alliance (Afghanistan)*,2001,210
Northern Alliance (Afghanistan)*,2002,
Northern Alliance (Afghanistan)*,2003,
Northern Alliance (Afghanistan)*,2004,
Northern Alliance (Afghanistan)*,2005,
Northern Alliance (Afghanistan)*,2006,
Northern Alliance (Afghanistan)*,2007,
Northern Alliance (Afghanistan)*,2008,
Northern Alliance (Afghanistan)*,2009,
Northern Alliance (Afghanistan)*,2010,
Northern Alliance (Afghanistan)*,2011,
Northern Alliance (Afghanistan)*,2012,
Northern Alliance (Afghanistan)*,2013,
Northern Alliance (Afghanistan)*,2014,
Northern Alliance (Afghanistan)*,2015,
Northern Alliance (Afghanistan)*,2016,
Northern Alliance (Afghanistan)*,2017,
Northern Alliance (Afghanistan)*,2018,
Northern Alliance (Afghanistan)*,2019,
Northern Alliance (Afghanistan)*,2020,
Northern Alliance (Afghanistan)*,2021,
Northern Alliance (Afghanistan)*,2022,
Northern Alliance (Afghanistan)*,2023,
Northern Alliance (Afghanistan)*,2024,
Northern Alliance (Afghanistan)*,2025,
