country,year,tiv
Northern Cyprus,1950,
Northern Cyprus,1951,
Northern Cyprus,1952,
Northern Cyprus,1953,
Northern Cyprus,1954,
Northern Cyprus,1955,
Northern Cyprus,1956,
Northern Cyprus,1957,
Northern Cyprus,1958,
Northern Cyprus,1959,
Northern Cyprus,1960,
Northern Cyprus,1961,
Northern Cyprus,1962,
Northern Cyprus,1963,
Northern Cyprus,1964,
Northern Cyprus,1965,
Northern Cyprus,1966,
Northern Cyprus,1967,
Northern Cyprus,1968,
Northern Cyprus,1969,
Northern Cyprus,1970,
Northern Cyprus,1971,
Northern Cyprus,1972,
Northern Cyprus,1973,
Northern Cyprus,1974,
Northern Cyprus,1975,
Northern Cyprus,1976,
Northern Cyprus,1977,
Northern Cyprus,1978,
Northern Cyprus,1979,
Northern Cyprus,1980,
Northern Cyprus,1981,
Northern Cyprus,1982,
Northern Cyprus,1983,
Northern Cyprus,1984,
Northern Cyprus,1985,
Northern Cyprus,1986,
Northern Cyprus,1987,
Northern Cyprus,1988,
Northern Cyprus,1989,
Northern Cyprus,1990,
Northern Cyprus,1991,
Northern Cyprus,1992,
Northern Cyprus,1993,
Northern Cyprus,1994,
Northern Cyprus,1995,
Northern Cyprus,1996,
Northern Cyprus,1997,
Northern Cyprus,1998,1
Northern Cyprus,1999,
Northern Cyprus,2000,
Northern Cyprus,2001,
Northern Cyprus,2002,
Northern Cyprus,2003,
Northern Cyprus,2004,
Northern Cyprus,2005,
Northern Cyprus,2006,
Northern Cyprus,2007,
Northern Cyprus,2008,
Northern Cyprus,2009,
Northern Cyprus,2010,
Northern Cyprus,2011,
Northern Cyprus,2012,
Northern Cyprus,2013,
Northern Cyprus,2014,
Northern Cyprus,2015,
Northern Cyprus,2016,
Northern Cyprus,2017,
Northern Cyprus,2018,
Northern Cyprus,2019,
Northern Cyprus,2020,
Northern Cyprus,2021,
Northern Cyprus,2022,
Northern Cyprus,2023,
Northern Cyprus,2024,
Northern Cyprus,2025,
