country,year,tiv
Norway,1950,110
Norway,1951,123
Norway,1952,426
Norway,1953,421
Norway,1954,19
Norway,1955,170
Norway,1956,281
Norway,1957,144
Norway,1958,149
Norway,1959,119
Norway,1960,153
Norway,1961,93
Norway,1962,60
Norway,1963,227
Norway,1964,260
Norway,1965,368
Norway,1966,759
Norway,1967,685
Norway,1968,289
Norway,1969,538
Norway,1970,154
Norway,1971,82
Norway,1972,68
Norway,1973,63
Norway,1974,55
Norway,1975,49
Norway,1976,35
Norway,1977,27
Norway,1978,24
Norway,1979,47
Norway,1980,254
Norway,1981,435
Norway,1982,457
Norway,1983,441
Norway,1984,337
Norway,1985,122
Norway,1986,141
Norway,1987,192
Norway,1988,308
Norway,1989,600
Norway,1990,435
Norway,1991,321
Norway,1992,253
Norway,1993,180
Norway,1994,93
Norway,1995,66
Norway,1996,151
Norway,1997,164
Norway,1998,158
Norway,1999,151
Norway,2000,234
Norway,2001,99
Norway,2002,95
Norway,2003,9
Norway,2004,6
Norway,2005,14
Norway,2006,559
Norway,2007,598
Norway,2008,602
Norway,2009,569
Norway,2010,150
Norway,2011,607
Norway,2012,147
Norway,2013,51
Norway,2014,16
Norway,2015,143
Norway,2016,142
Norway,2017,353
Norway,2018,520
Norway,2019,389
Norway,2020,459
Norway,2021,503
Norway,2022,700
Norway,2023,200
Norway,2024,379
Norway,2025,407
