country,year,tiv
OSCE**,1950,
OSCE**,1951,
OSCE**,1952,
OSCE**,1953,
OSCE**,1954,
OSCE**,1955,
OSCE**,1956,
OSCE**,1957,
OSCE**,1958,
OSCE**,1959,
OSCE**,1960,
OSCE**,1961,
OSCE**,1962,
OSCE**,1963,
OSCE**,1964,
OSCE**,1965,
OSCE**,1966,
OSCE**,1967,
OSCE**,1968,
OSCE**,1969,
OSCE**,1970,
OSCE**,1971,
OSCE**,1972,
OSCE**,1973,
OSCE**,1974,
OSCE**,1975,
OSCE**,1976,
OSCE**,1977,
OSCE**,1978,
OSCE**,1979,
OSCE**,1980,
OSCE**,1981,
OSCE**,1982,
OSCE**,1983,
OSCE**,1984,
OSCE**,1985,
OSCE**,1986,
OSCE**,1987,
OSCE**,1988,
OSCE**,1989,
OSCE**,1990,
OSCE**,1991,
OSCE**,1992,
OSCE**,1993,
OSCE**,1994,
OSCE**,1995,
OSCE**,1996,
OSCE**,1997,
OSCE**,1998,
OSCE**,1999,
OSCE**,2000,
OSCE**,2001,
OSCE**,2002,
OSCE**,2003,
OSCE**,2004,
OSCE**,2005,
OSCE**,2006,
OSCE**,2007,
OSCE**,2008,
OSCE**,2009,
OSCE**,2010,
OSCE**,2011,
OSCE**,2012,
OSCE**,2013,
OSCE**,2014,1
OSCE**,2015,1
OSCE**,2016,
OSCE**,2017,
OSCE**,2018,
OSCE**,2019,
OSCE**,2020,
OSCE**,2021,
OSCE**,2022,
OSCE**,2023,
OSCE**,2024,
OSCE**,2025,
