country,year,tiv
Oman,1950,
Oman,1951,
Oman,1952,
Oman,1953,
Oman,1954,
Oman,1955,
Oman,1956,
Oman,1957,
Oman,1958,
Oman,1959,1
Oman,1960,1
Oman,1961,
Oman,1962,
Oman,1963,1
Oman,1964,1
Oman,1965,1
Oman,1966,2
Oman,1967,7
Oman,1968,5
Oman,1969,36
Oman,1970,26
Oman,1971,62
Oman,1972,11
Oman,1973,71
Oman,1974,67
Oman,1975,181
Oman,1976,150
Oman,1977,250
Oman,1978,81
Oman,1979,43
Oman,1980,12
Oman,1981,72
Oman,1982,170
Oman,1983,347
Oman,1984,120
Oman,1985,88
Oman,1986,49
Oman,1987,40
Oman,1988,19
Oman,1989,117
Oman,1990,60
Oman,1991,
Oman,1992,
Oman,1993,55
Oman,1994,145
Oman,1995,278
Oman,1996,285
Oman,1997,157
Oman,1998,22
Oman,1999,
Oman,2000,121
Oman,2001,32
Oman,2002,40
Oman,2003,37
Oman,2004,49
Oman,2005,178
Oman,2006,297
Oman,2007,12
Oman,2008,72
Oman,2009,95
Oman,2010,31
Oman,2011,21
Oman,2012,127
Oman,2013,492
Oman,2014,719
Oman,2015,152
Oman,2016,422
Oman,2017,757
Oman,2018,282
Oman,2019,88
Oman,2020,85
Oman,2021,4
Oman,2022,4
Oman,2023,4
Oman,2024,
Oman,2025,
