country,year,tiv
PAIGC (Portugal)*,1950,
PAIGC (Portugal)*,1951,
PAIGC (Portugal)*,1952,
PAIGC (Portugal)*,1953,
PAIGC (Portugal)*,1954,
PAIGC (Portugal)*,1955,
PAIGC (Portugal)*,1956,
PAIGC (Portugal)*,1957,
PAIGC (Portugal)*,1958,
PAIGC (Portugal)*,1959,
PAIGC (Portugal)*,1960,
PAIGC (Portugal)*,1961,
PAIGC (Portugal)*,1962,
PAIGC (Portugal)*,1963,
PAIGC (Portugal)*,1964,
PAIGC (Portugal)*,1965,
PAIGC (Portugal)*,1966,
PAIGC (Portugal)*,1967,
PAIGC (Portugal)*,1968,
PAIGC (Portugal)*,1969,
PAIGC (Portugal)*,1970,
PAIGC (Portugal)*,1971,
PAIGC (Portugal)*,1972,0
PAIGC (Portugal)*,1973,1
PAIGC (Portugal)*,1974,
PAIGC (Portugal)*,1975,
PAIGC (Portugal)*,1976,
PAIGC (Portugal)*,1977,
PAIGC (Portugal)*,1978,
PAIGC (Portugal)*,1979,
PAIGC (Portugal)*,1980,
PAIGC (Portugal)*,1981,
PAIGC (Portugal)*,1982,
PAIGC (Portugal)*,1983,
PAIGC (Portugal)*,1984,
PAIGC (Portugal)*,1985,
PAIGC (Portugal)*,1986,
PAIGC (Portugal)*,1987,
PAIGC (Portugal)*,1988,
PAIGC (Portugal)*,1989,
PAIGC (Portugal)*,1990,
PAIGC (Portugal)*,1991,
PAIGC (Portugal)*,1992,
PAIGC (Portugal)*,1993,
PAIGC (Portugal)*,1994,
PAIGC (Portugal)*,1995,
PAIGC (Portugal)*,1996,
PAIGC (Portugal)*,1997,
PAIGC (Portugal)*,1998,
PAIGC (Portugal)*,1999,
PAIGC (Portugal)*,2000,
PAIGC (Portugal)*,2001,
PAIGC (Portugal)*,2002,
PAIGC (Portugal)*,2003,
PAIGC (Portugal)*,2004,
PAIGC (Portugal)*,2005,
PAIGC (Portugal)*,2006,
PAIGC (Portugal)*,2007,
PAIGC (Portugal)*,2008,
PAIGC (Portugal)*,2009,
PAIGC (Portugal)*,2010,
PAIGC (Portugal)*,2011,
PAIGC (Portugal)*,2012,
PAIGC (Portugal)*,2013,
PAIGC (Portugal)*,2014,
PAIGC (Portugal)*,2015,
PAIGC (Portugal)*,2016,
PAIGC (Portugal)*,2017,
PAIGC (Portugal)*,2018,
PAIGC (Portugal)*,2019,
PAIGC (Portugal)*,2020,
PAIGC (Portugal)*,2021,
PAIGC (Portugal)*,2022,
PAIGC (Portugal)*,2023,
PAIGC (Portugal)*,2024,
PAIGC (Portugal)*,2025,
