country,year,tiv
PLO (Israel)*,1950,
PLO (Israel)*,1951,
PLO (Israel)*,1952,
PLO (Israel)*,1953,
PLO (Israel)*,1954,
PLO (Israel)*,1955,
PLO (Israel)*,1956,
PLO (Israel)*,1957,
PLO (Israel)*,1958,
PLO (Israel)*,1959,
PLO (Israel)*,1960,
PLO (Israel)*,1961,
PLO (Israel)*,1962,
PLO (Israel)*,1963,
PLO (Israel)*,1964,
PLO (Israel)*,1965,
PLO (Israel)*,1966,
PLO (Israel)*,1967,
PLO (Israel)*,1968,
PLO (Israel)*,1969,
PLO (Israel)*,1970,
PLO (Israel)*,1971,
PLO (Israel)*,1972,
PLO (Israel)*,1973,
PLO (Israel)*,1974,
PLO (Israel)*,1975,
PLO (Israel)*,1976,0
PLO (Israel)*,1977,0
PLO (Israel)*,1978,
PLO (Israel)*,1979,0
PLO (Israel)*,1980,4
PLO (Israel)*,1981,12
PLO (Israel)*,1982,14
PLO (Israel)*,1983,
PLO (Israel)*,1984,
PLO (Israel)*,1985,
PLO (Israel)*,1986,0
PLO (Israel)*,1987,
PLO (Israel)*,1988,
PLO (Israel)*,1989,
PLO (Israel)*,1990,
PLO (Israel)*,1991,
PLO (Israel)*,1992,
PLO (Israel)*,1993,
PLO (Israel)*,1994,
PLO (Israel)*,1995,
PLO (Israel)*,1996,
PLO (Israel)*,1997,
PLO (Israel)*,1998,
PLO (Israel)*,1999,
PLO (Israel)*,2000,
PLO (Israel)*,2001,
PLO (Israel)*,2002,
PLO (Israel)*,2003,
PLO (Israel)*,2004,
PLO (Israel)*,2005,
PLO (Israel)*,2006,
PLO (Israel)*,2007,
PLO (Israel)*,2008,
PLO (Israel)*,2009,
PLO (Israel)*,2010,
PLO (Israel)*,2011,
PLO (Israel)*,2012,
PLO (Israel)*,2013,
PLO (Israel)*,2014,
PLO (Israel)*,2015,
PLO (Israel)*,2016,
PLO (Israel)*,2017,
PLO (Israel)*,2018,
PLO (Israel)*,2019,
PLO (Israel)*,2020,
PLO (Israel)*,2021,
PLO (Israel)*,2022,
PLO (Israel)*,2023,
PLO (Israel)*,2024,
PLO (Israel)*,2025,
