country,year,tiv
Pakistan,1950,170
Pakistan,1951,169
Pakistan,1952,145
Pakistan,1953,95
Pakistan,1954,95
Pakistan,1955,152
Pakistan,1956,187
Pakistan,1957,537
Pakistan,1958,336
Pakistan,1959,313
Pakistan,1960,46
Pakistan,1961,41
Pakistan,1962,84
Pakistan,1963,225
Pakistan,1964,96
Pakistan,1965,222
Pakistan,1966,592
Pakistan,1967,151
Pakistan,1968,415
Pakistan,1969,542
Pakistan,1970,422
Pakistan,1971,553
Pakistan,1972,664
Pakistan,1973,177
Pakistan,1974,225
Pakistan,1975,223
Pakistan,1976,276
Pakistan,1977,271
Pakistan,1978,655
Pakistan,1979,697
Pakistan,1980,900
Pakistan,1981,491
Pakistan,1982,544
Pakistan,1983,784
Pakistan,1984,863
Pakistan,1985,751
Pakistan,1986,280
Pakistan,1987,617
Pakistan,1988,412
Pakistan,1989,974
Pakistan,1990,635
Pakistan,1991,511
Pakistan,1992,352
Pakistan,1993,992
Pakistan,1994,862
Pakistan,1995,368
Pakistan,1996,506
Pakistan,1997,691
Pakistan,1998,699
Pakistan,1999,867
Pakistan,2000,175
Pakistan,2001,412
Pakistan,2002,566
Pakistan,2003,645
Pakistan,2004,471
Pakistan,2005,427
Pakistan,2006,324
Pakistan,2007,693
Pakistan,2008,1072
Pakistan,2009,1195
Pakistan,2010,2232
Pakistan,2011,1178
Pakistan,2012,1024
Pakistan,2013,1112
Pakistan,2014,877
Pakistan,2015,771
Pakistan,2016,872
Pakistan,2017,870
Pakistan,2018,893
Pakistan,2019,654
Pakistan,2020,624
Pakistan,2021,984
Pakistan,2022,1529
Pakistan,2023,2199
Pakistan,2024,1068
Pakistan,2025,706
