country,year,tiv
Palestinian Islamic Jihad (Israel/Palestine)*,1950,
Palestinian Islamic Jihad (Israel/Palestine)*,1951,
Palestinian Islamic Jihad (Israel/Palestine)*,1952,
Palestinian Islamic Jihad (Israel/Palestine)*,1953,
Palestinian Islamic Jihad (Israel/Palestine)*,1954,
Palestinian Islamic Jihad (Israel/Palestine)*,1955,
Palestinian Islamic Jihad (Israel/Palestine)*,1956,
Palestinian Islamic Jihad (Israel/Palestine)*,1957,
Palestinian Islamic Jihad (Israel/Palestine)*,1958,
Palestinian Islamic Jihad (Israel/Palestine)*,1959,
Palestinian Islamic Jihad (Israel/Palestine)*,1960,
Palestinian Islamic Jihad (Israel/Palestine)*,1961,
Palestinian Islamic Jihad (Israel/Palestine)*,1962,
Palestinian Islamic Jihad (Israel/Palestine)*,1963,
Palestinian Islamic Jihad (Israel/Palestine)*,1964,
Palestinian Islamic Jihad (Israel/Palestine)*,1965,
Palestinian Islamic Jihad (Israel/Palestine)*,1966,
Palestinian Islamic Jihad (Israel/Palestine)*,1967,
Palestinian Islamic Jihad (Israel/Palestine)*,1968,
Palestinian Islamic Jihad (Israel/Palestine)*,1969,
Palestinian Islamic Jihad (Israel/Palestine)*,1970,
Palestinian Islamic Jihad (Israel/Palestine)*,1971,
Palestinian Islamic Jihad (Israel/Palestine)*,1972,
Palestinian Islamic Jihad (Israel/Palestine)*,1973,
Palestinian Islamic Jihad (Israel/Palestine)*,1974,
Palestinian Islamic Jihad (Israel/Palestine)*,1975,
Palestinian Islamic Jihad (Israel/Palestine)*,1976,
Palestinian Islamic Jihad (Israel/Palestine)*,1977,
Palestinian Islamic Jihad (Israel/Palestine)*,1978,
Palestinian Islamic Jihad (Israel/Palestine)*,1979,
Palestinian Islamic Jihad (Israel/Palestine)*,1980,
Palestinian Islamic Jihad (Israel/Palestine)*,1981,
Palestinian Islamic Jihad (Israel/Palestine)*,1982,
Palestinian Islamic Jihad (Israel/Palestine)*,1983,
Palestinian Islamic Jihad (Israel/Palestine)*,1984,
Palestinian Islamic Jihad (Israel/Palestine)*,1985,
Palestinian Islamic Jihad (Israel/Palestine)*,1986,
Palestinian Islamic Jihad (Israel/Palestine)*,1987,
Palestinian Islamic Jihad (Israel/Palestine)*,1988,
Palestinian Islamic Jihad (Israel/Palestine)*,1989,
Palestinian Islamic Jihad (Israel/Palestine)*,1990,
Palestinian Islamic Jihad (Israel/Palestine)*,1991,
Palestinian Islamic Jihad (Israel/Palestine)*,1992,
Palestinian Islamic Jihad (Israel/Palestine)*,1993,
Palestinian Islamic Jihad (Israel/Palestine)*,1994,
Palestinian Islamic Jihad (Israel/Palestine)*,1995,
Palestinian Islamic Jihad (Israel/Palestine)*,1996,
Palestinian Islamic Jihad (Israel/Palestine)*,1997,
Palestinian Islamic Jihad (Israel/Palestine)*,1998,
Palestinian Islamic Jihad (Israel/Palestine)*,1999,
Palestinian Islamic Jihad (Israel/Palestine)*,2000,
Palestinian Islamic Jihad (Israel/Palestine)*,2001,
Palestinian Islamic Jihad (Israel/Palestine)*,2002,
Palestinian Islamic Jihad (Israel/Palestine)*,2003,
Palestinian Islamic Jihad (Israel/Palestine)*,2004,
Palestinian Islamic Jihad (Israel/Palestine)*,2005,
Palestinian Islamic Jihad (Israel/Palestine)*,2006,
Palestinian Islamic Jihad (Israel/Palestine)*,2007,
Palestinian Islamic Jihad (Israel/Palestine)*,2008,
Palestinian Islamic Jihad (Israel/Palestine)*,2009,
Palestinian Islamic Jihad (Israel/Palestine)*,2010,
Palestinian Islamic Jihad (Israel/Palestine)*,2011,
Palestinian Islamic Jihad (Israel/Palestine)*,2012,0
Palestinian Islamic Jihad (Israel/Palestine)*,2013,
Palestinian Islamic Jihad (Israel/Palestine)*,2014,
Palestinian Islamic Jihad (Israel/Palestine)*,2015,
Palestinian Islamic Jihad (Israel/Palestine)*,2016,
Palestinian Islamic Jihad (Israel/Palestine)*,2017,
Palestinian Islamic Jihad (Israel/Palestine)*,2018,
Palestinian Islamic Jihad (Israel/Palestine)*,2019,
Palestinian Islamic Jihad (Israel/Palestine)*,2020,
Palestinian Islamic Jihad (Israel/Palestine)*,2021,
Palestinian Islamic Jihad (Israel/Palestine)*,2022,
Palestinian Islamic Jihad (Israel/Palestine)*,2023,
Palestinian Islamic Jihad (Israel/Palestine)*,2024,
Palestinian Islamic Jihad (Israel/Palestine)*,2025,
