country,year,tiv
Paraguay,1950,5
Paraguay,1951,
Paraguay,1952,1
Paraguay,1953,1
Paraguay,1954,
Paraguay,1955,0
Paraguay,1956,
Paraguay,1957,
Paraguay,1958,
Paraguay,1959,
Paraguay,1960,9
Paraguay,1961,
Paraguay,1962,11
Paraguay,1963,0
Paraguay,1964,8
Paraguay,1965,1
Paraguay,1966,1
Paraguay,1967,5
Paraguay,1968,9
Paraguay,1969,
Paraguay,1970,0
Paraguay,1971,1
Paraguay,1972,12
Paraguay,1973,0
Paraguay,1974,1
Paraguay,1975,20
Paraguay,1976,3
Paraguay,1977,
Paraguay,1978,9
Paraguay,1979,1
Paraguay,1980,18
Paraguay,1981,5
Paraguay,1982,3
Paraguay,1983,0
Paraguay,1984,3
Paraguay,1985,36
Paraguay,1986,6
Paraguay,1987,
Paraguay,1988,13
Paraguay,1989,
Paraguay,1990,6
Paraguay,1991,3
Paraguay,1992,1
Paraguay,1993,
Paraguay,1994,
Paraguay,1995,
Paraguay,1996,2
Paraguay,1997,
Paraguay,1998,
Paraguay,1999,
Paraguay,2000,
Paraguay,2001,6
Paraguay,2002,
Paraguay,2003,
Paraguay,2004,4
Paraguay,2005,1
Paraguay,2006,
Paraguay,2007,
Paraguay,2008,
Paraguay,2009,
Paraguay,2010,3
Paraguay,2011,8
Paraguay,2012,7
Paraguay,2013,0
Paraguay,2014,
Paraguay,2015,
Paraguay,2016,
Paraguay,2017,
Paraguay,2018,
Paraguay,2019,2
Paraguay,2020,
Paraguay,2021,5
Paraguay,2022,
Paraguay,2023,
Paraguay,2024,
Paraguay,2025,24
