country,year,tiv
Peru,1950,2
Peru,1951,24
Peru,1952,85
Peru,1953,17
Peru,1954,111
Peru,1955,35
Peru,1956,175
Peru,1957,117
Peru,1958,30
Peru,1959,175
Peru,1960,191
Peru,1961,96
Peru,1962,14
Peru,1963,24
Peru,1964,18
Peru,1965,52
Peru,1966,65
Peru,1967,26
Peru,1968,188
Peru,1969,96
Peru,1970,35
Peru,1971,157
Peru,1972,198
Peru,1973,476
Peru,1974,561
Peru,1975,555
Peru,1976,373
Peru,1977,933
Peru,1978,748
Peru,1979,641
Peru,1980,676
Peru,1981,857
Peru,1982,271
Peru,1983,320
Peru,1984,361
Peru,1985,215
Peru,1986,250
Peru,1987,611
Peru,1988,241
Peru,1989,11
Peru,1990,104
Peru,1991,108
Peru,1992,130
Peru,1993,43
Peru,1994,175
Peru,1995,47
Peru,1996,121
Peru,1997,373
Peru,1998,52
Peru,1999,95
Peru,2000,18
Peru,2001,10
Peru,2002,16
Peru,2003,22
Peru,2004,47
Peru,2005,368
Peru,2006,193
Peru,2007,172
Peru,2008,
Peru,2009,43
Peru,2010,46
Peru,2011,71
Peru,2012,5
Peru,2013,15
Peru,2014,153
Peru,2015,211
Peru,2016,168
Peru,2017,28
Peru,2018,103
Peru,2019,0
Peru,2020,28
Peru,2021,62
Peru,2022,38
Peru,2023,22
Peru,2024,1
Peru,2025,90
