country,year,tiv
Philippines,1950,
Philippines,1951,2
Philippines,1952,1
Philippines,1953,32
Philippines,1954,22
Philippines,1955,28
Philippines,1956,39
Philippines,1957,42
Philippines,1958,37
Philippines,1959,68
Philippines,1960,50
Philippines,1961,44
Philippines,1962,11
Philippines,1963,4
Philippines,1964,2
Philippines,1965,99
Philippines,1966,86
Philippines,1967,43
Philippines,1968,16
Philippines,1969,26
Philippines,1970,9
Philippines,1971,90
Philippines,1972,50
Philippines,1973,106
Philippines,1974,60
Philippines,1975,133
Philippines,1976,256
Philippines,1977,198
Philippines,1978,143
Philippines,1979,92
Philippines,1980,75
Philippines,1981,39
Philippines,1982,17
Philippines,1983,116
Philippines,1984,38
Philippines,1985,23
Philippines,1986,
Philippines,1987,26
Philippines,1988,12
Philippines,1989,19
Philippines,1990,33
Philippines,1991,34
Philippines,1992,43
Philippines,1993,62
Philippines,1994,72
Philippines,1995,30
Philippines,1996,43
Philippines,1997,72
Philippines,1998,64
Philippines,1999,
Philippines,2000,
Philippines,2001,10
Philippines,2002,5
Philippines,2003,10
Philippines,2004,34
Philippines,2005,12
Philippines,2006,23
Philippines,2007,16
Philippines,2008,10
Philippines,2009,1
Philippines,2010,3
Philippines,2011,63
Philippines,2012,21
Philippines,2013,83
Philippines,2014,12
Philippines,2015,153
Philippines,2016,228
Philippines,2017,278
Philippines,2018,17
Philippines,2019,191
Philippines,2020,385
Philippines,2021,365
Philippines,2022,280
Philippines,2023,108
Philippines,2024,305
Philippines,2025,846
