country,year,tiv
Poland,1950,195
Poland,1951,590
Poland,1952,804
Poland,1953,1037
Poland,1954,1980
Poland,1955,1060
Poland,1956,710
Poland,1957,1105
Poland,1958,1093
Poland,1959,1031
Poland,1960,889
Poland,1961,864
Poland,1962,685
Poland,1963,1020
Poland,1964,1572
Poland,1965,1162
Poland,1966,1004
Poland,1967,781
Poland,1968,927
Poland,1969,992
Poland,1970,859
Poland,1971,1009
Poland,1972,958
Poland,1973,1110
Poland,1974,1060
Poland,1975,887
Poland,1976,1102
Poland,1977,1023
Poland,1978,1186
Poland,1979,1187
Poland,1980,1119
Poland,1981,804
Poland,1982,709
Poland,1983,536
Poland,1984,466
Poland,1985,925
Poland,1986,1389
Poland,1987,1036
Poland,1988,903
Poland,1989,501
Poland,1990,226
Poland,1991,76
Poland,1992,100
Poland,1993,4
Poland,1994,74
Poland,1995,250
Poland,1996,101
Poland,1997,
Poland,1998,
Poland,1999,23
Poland,2000,146
Poland,2001,31
Poland,2002,253
Poland,2003,347
Poland,2004,223
Poland,2005,105
Poland,2006,442
Poland,2007,969
Poland,2008,633
Poland,2009,193
Poland,2010,174
Poland,2011,141
Poland,2012,227
Poland,2013,146
Poland,2014,275
Poland,2015,127
Poland,2016,45
Poland,2017,126
Poland,2018,50
Poland,2019,213
Poland,2020,153
Poland,2021,68
Poland,2022,414
Poland,2023,1391
Poland,2024,1542
Poland,2025,2169
