country,year,tiv
Portugal,1950,9
Portugal,1951,21
Portugal,1952,120
Portugal,1953,286
Portugal,1954,373
Portugal,1955,165
Portugal,1956,90
Portugal,1957,153
Portugal,1958,109
Portugal,1959,62
Portugal,1960,35
Portugal,1961,157
Portugal,1962,28
Portugal,1963,41
Portugal,1964,46
Portugal,1965,39
Portugal,1966,244
Portugal,1967,286
Portugal,1968,371
Portugal,1969,339
Portugal,1970,371
Portugal,1971,267
Portugal,1972,17
Portugal,1973,17
Portugal,1974,118
Portugal,1975,327
Portugal,1976,64
Portugal,1977,94
Portugal,1978,130
Portugal,1979,7
Portugal,1980,36
Portugal,1981,57
Portugal,1982,192
Portugal,1983,12
Portugal,1984,109
Portugal,1985,154
Portugal,1986,3
Portugal,1987,9
Portugal,1988,90
Portugal,1989,149
Portugal,1990,74
Portugal,1991,1012
Portugal,1992,19
Portugal,1993,350
Portugal,1994,453
Portugal,1995,20
Portugal,1996,9
Portugal,1997,2
Portugal,1998,16
Portugal,1999,3
Portugal,2000,2
Portugal,2001,18
Portugal,2002,
Portugal,2003,29
Portugal,2004,70
Portugal,2005,158
Portugal,2006,220
Portugal,2007,60
Portugal,2008,145
Portugal,2009,371
Portugal,2010,891
Portugal,2011,170
Portugal,2012,42
Portugal,2013,11
Portugal,2014,3
Portugal,2015,1
Portugal,2016,21
Portugal,2017,8
Portugal,2018,19
Portugal,2019,44
Portugal,2020,45
Portugal,2021,6
Portugal,2022,
Portugal,2023,67
Portugal,2024,61
Portugal,2025,90
